,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Aberdeen Falls,0.0,199.79,68.44,47.53,198.76,103.13,228.37,62.09,82.97,85.17,240.82,99.55,155.1,115.33,86.67,147.06,131.3,395.77,64.51,225.99,101.53,103.35,198.25,130.97,104.69,121.05,36.5,109.64,98.27,239.21,121.23,201.54,327.62,122.73,122.1,52.23,242.21,235.86,197.72,201.54,105.62,103.67,201.78,64.62,101.88,39.24,181.0,64.0,70.27,209.26,86.52,190.74,191.38,87.02,187.94,157.66,102.66,197.32,376.0,375.61,102.96,200.05,197.88,222.39,212.57,169.83,131.18,154.27,63.42,63.15,237.93,189.26,183.15,393.23,94.78,197.46,196.03,102.46,211.12,163.79,272.12,12.26,108.12,121.19,197.63,66.3,159.36,179.64,178.64,102.0,155.58,238.43,230.35,191.31,168.23,225.04,67.86,194.01,105.72,160.83,100.17,409.03,109.8,373.37,107.52,105.45,375.11,249.36,121.06,104.53,250.47,66.95,101.74,152.49,74.62,80.83,115.35,232.57,197.97,133.76,198.38,120.83,134.49,103.86,174.66,56.81,199.08,198.76,205.61,211.13,202.23,102.12,189.19,255.3,149.76,63.37,143.99,200.19,221.56,28.95,96.69,40.78,102.06,102.17,199.1,63.17,240.96,240.59,178.35,198.32,140.79,200.93,240.07,63.2,101.13,207.29,159.0,235.92,220.42,189.38,234.24,262.37,102.16,217.7,150.37
Abhayagiri Dagaba,200.32,0.0,220.47,164.03,105.51,174.75,312.23,139.19,272.5,274.9,202.08,203.17,268.93,219.75,225.69,260.89,272.82,213.79,146.02,339.82,197.59,199.56,1.78,69.78,204.58,230.64,203.09,276.5,203.01,353.04,213.09,315.37,145.63,300.82,239.95,152.1,109.93,259.47,104.47,315.37,199.41,200.72,315.61,211.65,198.8,235.05,374.32,212.73,219.0,323.09,173.15,304.57,364.39,239.05,367.22,64.41,199.6,4.83,194.02,193.62,196.76,313.88,4.78,336.22,326.4,395.77,245.0,268.1,139.66,139.39,98.84,308.32,89.9,211.25,201.47,104.21,337.55,160.36,324.95,277.62,355.98,208.08,255.89,239.05,3.99,212.81,300.88,293.47,175.19,241.02,263.56,117.57,344.18,14.82,74.98,338.87,216.59,8.42,208.1,370.98,175.8,227.05,92.8,191.39,171.0,175.15,193.13,112.25,238.92,198.33,176.06,213.33,197.27,73.27,221.0,141.88,133.5,346.4,104.73,71.7,105.13,238.68,248.32,117.79,58.58,143.52,2.49,1.92,112.36,324.96,316.05,199.05,303.02,142.55,74.07,211.35,283.01,319.25,128.31,224.77,255.84,208.71,195.85,195.96,105.85,138.97,106.32,105.94,383.42,8.79,318.87,314.76,106.66,210.45,198.52,321.12,96.94,349.75,334.25,366.16,348.07,63.83,195.95,336.75,75.73
Ambewela Farms,68.41,220.45,0.0,69.96,191.62,162.64,187.1,82.75,94.54,39.83,200.96,159.07,214.62,56.06,146.19,206.58,95.7,416.43,85.17,236.02,161.04,162.87,218.91,151.62,164.21,61.78,33.27,76.87,157.79,224.63,61.96,258.84,348.28,137.98,62.83,72.89,262.87,179.47,195.45,258.84,165.13,163.19,259.09,11.47,161.39,76.52,200.25,10.86,13.2,242.77,146.03,250.26,210.63,18.58,207.19,178.32,162.18,217.98,396.66,396.26,162.48,257.35,218.54,238.04,244.55,189.09,190.69,213.79,84.08,83.81,258.59,153.66,203.81,413.89,154.29,195.2,160.42,123.12,244.63,223.31,230.86,71.41,62.79,61.92,218.29,13.16,123.76,239.15,138.78,140.12,119.97,259.08,228.25,211.97,188.89,236.76,11.48,214.67,165.24,194.55,159.69,429.69,130.46,394.03,167.04,164.96,395.77,270.02,61.79,164.05,210.61,13.81,161.26,173.15,21.47,100.79,136.01,230.48,192.73,154.42,194.02,61.55,194.01,124.52,195.32,77.47,219.74,219.42,196.18,248.94,259.53,161.64,248.7,271.76,170.42,10.22,161.44,164.59,224.85,74.04,46.34,29.98,161.57,161.69,192.6,83.83,261.62,261.25,197.6,218.98,160.4,258.23,260.73,10.06,160.64,266.81,170.62,221.33,236.07,208.64,232.15,283.03,161.68,182.09,171.03
Ambuluwawa Tower,47.55,163.49,69.97,0.0,162.46,107.3,244.61,25.8,119.74,121.94,204.53,120.48,176.02,113.56,117.27,167.97,153.2,359.47,28.21,246.91,114.9,116.87,161.96,94.67,121.89,119.28,50.33,134.37,119.16,260.13,119.47,222.45,291.32,159.5,120.33,15.93,205.91,203.13,161.42,222.45,116.72,118.03,222.7,61.16,116.11,82.29,281.41,62.24,68.5,230.18,94.44,211.65,271.48,88.55,274.31,121.37,116.91,161.02,339.71,339.31,114.07,220.96,161.58,243.31,233.49,206.6,152.09,175.18,27.13,26.85,201.64,211.16,146.85,356.94,108.56,161.17,217.92,66.16,232.03,184.71,288.36,55.31,120.3,119.43,161.33,62.32,181.26,200.55,142.34,132.59,177.47,202.13,251.26,155.02,131.94,245.95,66.09,157.71,125.41,197.6,108.1,372.73,73.5,337.07,111.69,109.62,338.81,213.07,119.3,115.64,214.18,62.84,114.58,116.19,70.5,40.4,79.05,253.49,161.68,97.46,162.08,119.06,155.41,67.56,138.36,20.51,162.78,162.47,169.31,232.05,223.14,116.36,210.1,219.0,113.46,60.85,174.59,222.09,185.27,72.0,103.84,55.94,113.16,113.27,162.8,26.87,204.66,204.29,215.12,162.02,177.56,221.84,203.78,59.95,115.83,228.21,122.7,256.84,241.34,273.25,255.15,226.08,113.26,239.59,114.07
Ancient City of Polonnaruwa,199.26,105.54,191.68,162.98,0.0,198.88,207.01,138.14,228.23,204.12,96.86,225.78,276.75,148.98,233.52,268.71,202.85,301.51,144.96,347.65,220.2,222.17,104.0,68.73,227.19,159.86,202.04,207.15,219.89,360.87,142.31,323.19,233.36,266.83,169.18,151.05,109.52,154.25,4.14,323.19,222.02,223.33,323.44,181.66,221.41,234.0,307.41,183.36,189.78,330.92,195.18,312.39,372.22,208.53,314.35,46.39,222.21,103.07,281.75,281.35,219.37,321.7,103.62,344.04,334.23,296.25,252.83,275.92,138.61,138.33,105.24,228.49,39.96,298.98,209.3,3.89,251.73,159.3,332.77,285.45,250.76,207.02,185.11,168.27,103.37,180.72,230.91,301.29,69.97,248.84,183.73,105.74,352.0,97.06,40.17,346.69,184.76,99.76,230.7,301.71,198.41,314.78,91.75,279.11,203.28,201.2,280.86,116.67,168.14,220.93,70.84,178.44,219.88,52.95,179.16,145.17,85.7,354.23,1.43,70.65,2.72,167.9,256.14,116.74,63.39,142.47,104.82,104.51,7.58,332.79,323.88,221.65,310.84,83.82,53.75,182.97,290.84,239.42,35.56,223.72,185.06,207.65,218.46,218.57,1.07,137.92,108.27,107.9,304.76,104.06,267.56,322.58,107.38,182.06,221.13,328.95,45.58,357.57,342.08,373.98,355.89,166.67,218.56,256.92,120.45
Angurukaramulla Temple,103.11,173.34,162.6,107.31,199.41,0.0,343.97,118.35,198.57,200.77,295.98,41.86,110.28,251.62,104.65,102.24,246.9,396.42,108.91,181.18,36.28,38.25,171.56,132.1,43.27,234.24,130.66,225.24,41.7,194.4,229.34,156.72,328.27,186.25,233.69,101.67,242.86,294.2,198.37,156.72,38.11,39.42,156.97,158.78,37.5,149.89,215.67,158.16,164.43,164.44,23.63,145.92,205.75,181.18,208.58,158.31,38.3,170.47,376.65,376.26,35.45,155.23,171.53,177.57,167.75,237.13,86.36,109.45,118.82,118.54,238.59,288.35,183.8,393.88,36.06,198.11,293.47,150.91,166.3,118.97,387.72,109.54,223.72,232.78,171.28,160.46,290.16,134.82,269.09,126.45,271.17,239.08,185.53,191.96,168.88,180.22,162.02,172.63,46.79,212.33,10.94,409.68,127.81,374.02,4.48,2.98,375.76,250.01,232.65,37.02,269.95,161.11,35.96,153.14,168.78,78.82,154.06,187.75,198.62,136.27,199.03,232.41,89.67,94.8,175.31,101.21,171.31,172.77,206.26,166.32,157.41,37.74,144.37,255.95,150.41,157.53,162.46,303.53,222.21,139.6,212.29,134.94,34.55,34.66,199.75,118.13,241.61,241.24,224.77,171.69,204.31,156.11,240.72,157.36,37.22,162.48,161.51,191.1,175.6,207.51,189.42,211.96,34.65,321.03,116.7
Arugam Bay,228.37,312.17,187.19,244.69,206.95,343.41,0.0,212.59,181.96,157.86,112.41,304.34,329.65,146.42,239.34,328.7,114.43,508.15,219.26,254.76,313.0,307.56,310.63,233.38,302.06,140.29,211.29,118.73,307.33,243.36,134.12,277.58,440.0,178.4,129.93,226.3,249.88,81.79,210.78,277.58,309.92,309.34,277.82,184.09,308.74,226.98,218.99,182.47,176.19,261.51,306.56,297.99,229.37,181.6,225.93,253.03,306.98,309.7,488.38,487.99,319.08,276.08,310.26,256.77,263.28,207.82,342.29,328.81,211.9,212.18,249.01,140.06,246.6,505.61,310.89,210.52,163.3,213.84,263.36,319.78,43.76,227.93,162.77,135.32,310.01,187.3,142.49,310.54,185.05,227.54,95.3,234.93,246.99,303.69,246.8,255.49,183.58,306.39,302.37,213.29,334.85,521.41,231.46,485.75,347.0,344.93,487.49,259.31,135.19,310.81,145.64,187.95,313.42,259.58,195.62,251.52,202.9,249.21,208.06,229.0,209.35,134.95,342.39,258.86,270.02,217.72,311.46,311.14,211.51,267.68,278.26,308.85,299.6,206.79,260.38,184.94,239.25,150.99,240.18,224.51,151.34,208.0,318.17,318.29,207.93,211.07,248.63,248.26,216.34,310.7,179.14,276.97,247.74,184.78,308.68,291.28,208.16,240.07,254.8,227.37,250.88,373.31,318.28,168.5,305.38
Bahiravokanda Vihara Buddha Statue,62.73,139.2,82.88,26.45,138.17,117.53,212.71,0.0,134.92,122.72,179.3,119.81,175.35,119.71,124.75,167.31,172.78,335.18,7.47,246.24,114.23,116.2,137.67,70.38,121.22,130.59,65.51,147.28,118.49,259.46,113.05,221.79,267.03,199.87,139.91,14.52,181.62,177.9,137.13,221.79,116.05,117.36,222.03,74.07,115.45,97.47,280.74,75.15,81.42,229.51,93.78,210.99,270.81,101.46,273.64,97.08,116.25,136.73,315.42,315.02,113.4,220.29,137.29,242.64,232.82,246.97,151.42,174.52,1.9,1.62,177.35,219.69,122.56,332.65,107.89,136.88,237.5,40.93,231.36,184.04,256.46,70.49,133.21,139.01,137.04,75.23,200.84,199.88,117.11,140.07,185.7,177.84,250.6,130.73,107.65,245.28,79.0,133.42,124.74,277.39,117.05,348.44,49.21,312.78,121.92,119.85,314.52,188.78,138.88,114.97,188.95,75.75,113.91,91.9,83.41,39.73,54.76,252.82,137.39,73.17,137.79,138.64,154.74,48.18,114.07,5.93,138.49,138.17,145.02,231.38,222.47,115.69,209.43,194.71,89.17,73.77,182.07,230.62,160.97,87.18,116.75,71.12,112.49,112.61,138.51,1.64,180.37,180.0,289.84,137.73,217.93,221.18,179.49,72.86,115.17,227.54,98.41,256.17,240.67,272.58,254.49,200.34,112.6,248.12,94.69
Baker's Falls,82.97,271.98,94.54,119.72,228.57,198.01,181.97,134.28,0.0,38.76,239.9,158.94,178.25,89.62,93.94,151.86,84.9,467.95,136.69,174.04,167.6,162.16,270.44,203.15,156.67,72.24,78.19,63.24,161.94,162.64,89.41,196.85,399.8,80.0,71.68,124.41,314.4,189.46,232.4,196.85,164.52,163.94,197.1,91.44,163.34,81.58,138.27,89.82,83.54,180.79,161.16,217.27,148.65,80.55,145.21,229.85,161.59,269.51,448.19,447.79,173.68,195.36,270.06,176.05,182.56,127.1,153.12,177.42,135.61,135.33,310.12,142.86,255.33,465.42,165.5,232.15,149.62,174.64,182.64,186.94,225.72,82.53,61.72,70.78,269.81,94.65,112.96,202.79,175.73,82.14,109.17,310.61,166.27,263.5,240.42,174.77,90.93,266.19,156.98,118.1,189.46,481.22,181.98,445.55,201.6,199.53,447.29,321.55,70.65,165.42,249.55,95.3,168.03,224.67,102.97,184.74,202.32,168.49,229.68,205.94,230.97,70.41,156.44,176.04,246.84,128.99,271.26,270.95,233.13,186.96,197.54,163.46,218.88,310.71,221.94,92.29,103.47,153.79,261.8,79.11,50.29,82.47,172.78,172.89,229.55,135.35,313.14,312.78,135.61,307.83,98.06,196.24,312.26,92.13,163.28,184.45,207.57,159.35,174.08,146.65,170.16,366.72,172.88,171.29,254.72
Bambarakanda Falls,85.17,276.02,39.83,121.92,204.46,200.21,157.86,122.58,38.76,0.0,215.8,161.14,180.45,65.51,96.14,154.06,60.79,472.0,125.0,176.24,169.8,164.36,274.48,208.69,158.87,48.13,80.39,39.13,164.14,164.84,65.31,199.05,403.84,82.2,47.58,112.72,318.44,165.35,208.29,199.05,166.72,166.14,199.3,51.31,165.54,83.79,140.47,65.71,59.43,182.99,163.36,219.47,150.85,21.25,147.41,233.89,163.79,273.55,452.23,451.83,175.88,197.56,274.11,178.25,184.76,129.3,155.32,179.62,123.91,123.64,314.16,118.75,244.11,469.46,167.7,208.04,125.52,189.16,184.84,189.14,201.61,84.73,37.61,46.68,273.85,52.99,88.85,204.99,151.62,84.34,85.07,314.75,168.47,267.54,244.46,176.97,66.82,270.24,159.18,120.3,191.66,485.26,170.29,449.59,203.8,201.73,451.34,325.59,46.54,167.62,225.45,53.64,170.23,228.71,61.3,186.94,178.21,170.69,205.58,204.31,206.87,46.31,158.64,164.35,250.89,117.3,275.3,274.99,209.02,189.16,199.74,165.66,221.08,286.6,225.98,50.05,105.67,129.68,237.69,81.31,26.18,69.81,174.98,175.09,205.44,123.66,317.18,316.82,137.81,274.54,100.26,198.44,316.3,49.89,165.48,186.65,183.47,161.55,176.28,148.85,172.36,337.15,175.08,147.19,256.92
