place_name,activity,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment
Aberdeen Falls,Cycling,0,0,1,1,neutral
Aberdeen Falls,Hiking,6,0,8,14,neutral
Aberdeen Falls,Photography,1,0,0,1,positive
Aberdeen Falls,Rafting,0,0,2,2,neutral
Aberdeen Falls,Relaxing,1,0,1,2,positive
Aberdeen Falls,Shopping,0,0,1,1,neutral
Aberdeen Falls,Swimming,2,0,10,12,neutral
Aberdeen Falls,Trekking,1,0,0,1,positive
Aberdeen Falls,Viewpoint visit,0,1,3,4,neutral
Aberdeen Falls,Waterfall bathing,0,0,1,1,neutral
Aberdeen Falls,Waterfall visit,24,3,37,64,neutral
Abhayagiri Dagaba,Ancient city visit,15,2,11,28,positive
Abhayagiri Dagaba,Bird watching,0,0,1,1,neutral
Abhayagiri Dagaba,Cycling,1,0,2,3,neutral
Abhayagiri Dagaba,Heritage exploration,1,0,1,2,positive
Abhayagiri Dagaba,Meditation,1,0,1,2,positive
Abhayagiri Dagaba,Museum visit,0,1,3,4,neutral
Abhayagiri Dagaba,Photography,5,0,1,6,positive
Abhayagiri Dagaba,Pilgrimage,1,0,2,3,neutral
Abhayagiri Dagaba,Relaxing,2,0,0,2,positive
Abhayagiri Dagaba,Religious visit,9,2,30,41,neutral
Abhayagiri Dagaba,Ruins exploration,7,0,8,15,neutral
Abhayagiri Dagaba,Shopping,0,0,1,1,neutral
Abhayagiri Dagaba,Swimming,0,0,1,1,neutral
Abhayagiri Dagaba,Temple visit,1,0,2,3,neutral
Ambewela Farms,Photography,8,3,4,15,positive
Ambewela Farms,Relaxing,14,0,3,17,positive
Ambewela Farms,Ruins exploration,1,0,0,1,positive
Ambewela Farms,Scenic drive,1,0,0,1,positive
Ambewela Farms,Shopping,9,3,12,24,neutral
Ambewela Farms,Sightseeing,3,0,0,3,positive
Ambewela Farms,Train ride,2,0,1,3,positive
Ambewela Farms,Waterfall visit,2,0,0,2,positive
Ambuluwawa Tower,Hiking,2,0,2,4,positive
Ambuluwawa Tower,Meditation,0,0,1,1,neutral
Ambuluwawa Tower,Photography,4,0,5,9,neutral
Ambuluwawa Tower,Pilgrimage,0,0,1,1,neutral
Ambuluwawa Tower,Relaxing,3,0,0,3,positive
Ambuluwawa Tower,Religious visit,1,0,2,3,neutral
Ambuluwawa Tower,Scenic drive,1,0,0,1,positive
Ambuluwawa Tower,Shopping,2,0,1,3,positive
Ambuluwawa Tower,Souvenir shopping,0,0,1,1,neutral
Ambuluwawa Tower,Temple visit,2,0,2,4,positive
Ambuluwawa Tower,Train ride,0,0,1,1,neutral
Ambuluwawa Tower,Viewpoint visit,1,0,0,1,positive
Ambuluwawa Tower,Waterfall visit,0,1,0,1,negative
Ancient City of Polonnaruwa,Ancient city visit,355,38,535,928,neutral
Ancient City of Polonnaruwa,Boat ride,1,0,0,1,positive
Ancient City of Polonnaruwa,Cycling,27,0,27,54,positive
Ancient City of Polonnaruwa,Heritage exploration,17,1,34,52,neutral
Ancient City of Polonnaruwa,Museum visit,42,4,42,88,positive
Ancient City of Polonnaruwa,Photography,19,1,24,44,neutral
Ancient City of Polonnaruwa,Pilgrimage,2,0,1,3,positive
Ancient City of Polonnaruwa,Relaxing,3,0,2,5,positive
Ancient City of Polonnaruwa,Religious visit,17,0,13,30,positive
Ancient City of Polonnaruwa,Ruins exploration,83,3,91,177,neutral
Ancient City of Polonnaruwa,Safari,1,0,0,1,positive
Ancient City of Polonnaruwa,Scenic drive,2,0,2,4,positive
Ancient City of Polonnaruwa,Shopping,2,1,2,5,positive
Ancient City of Polonnaruwa,Sightseeing,1,0,1,2,positive
Ancient City of Polonnaruwa,Souvenir shopping,2,0,4,6,neutral
Ancient City of Polonnaruwa,Spa treatment,0,0,1,1,neutral
Ancient City of Polonnaruwa,Street food tasting,1,0,0,1,positive
Ancient City of Polonnaruwa,Swimming,1,0,0,1,positive
Ancient City of Polonnaruwa,Temple visit,21,2,15,38,positive
Ancient City of Polonnaruwa,Trekking,0,0,1,1,neutral
Angurukaramulla Temple,Cycling,1,0,1,2,positive
Angurukaramulla Temple,Diving,0,0,1,1,neutral
Angurukaramulla Temple,Fort visit,0,0,1,1,neutral
Angurukaramulla Temple,Heritage exploration,0,0,1,1,neutral
Angurukaramulla Temple,Kite surfing,0,0,1,1,neutral
Angurukaramulla Temple,Meditation,1,1,3,5,neutral
Angurukaramulla Temple,Photography,4,0,11,15,neutral
Angurukaramulla Temple,Pilgrimage,2,0,1,3,positive
Angurukaramulla Temple,Relaxing,4,0,0,4,positive
Angurukaramulla Temple,Religious visit,12,0,8,20,positive
Angurukaramulla Temple,Ruins exploration,0,0,1,1,neutral
Angurukaramulla Temple,Shopping,0,0,1,1,neutral
Angurukaramulla Temple,Sightseeing,0,0,1,1,neutral
Angurukaramulla Temple,Temple visit,123,14,136,273,neutral
Angurukaramulla Temple,Wind surfing,0,0,1,1,neutral
Arugam Bay,Ayurveda wellness,0,0,1,1,neutral
Arugam Bay,Beach relaxing,2,0,1,3,positive
Arugam Bay,Beach walking,3,1,2,6,positive
Arugam Bay,Boat ride,0,0,2,2,neutral
Arugam Bay,Camping,5,0,1,6,positive
Arugam Bay,Canoeing,0,0,1,1,neutral
Arugam Bay,Cycling,1,0,0,1,positive
Arugam Bay,Diving,1,0,1,2,positive
Arugam Bay,Elephant watching,2,0,2,4,positive
Arugam Bay,Fishing,11,1,14,26,neutral
Arugam Bay,Jeep safari,1,0,2,3,neutral
Arugam Bay,Local food tasting,2,0,1,3,positive
Arugam Bay,Meditation,0,0,1,1,neutral
Arugam Bay,Photography,5,0,4,9,positive
Arugam Bay,Picnic,1,0,0,1,positive
Arugam Bay,Relaxing,70,2,29,101,positive
Arugam Bay,Ruins exploration,1,0,0,1,positive
Arugam Bay,Safari,16,0,10,26,positive
Arugam Bay,Scenic drive,0,0,1,1,neutral
Arugam Bay,Sea bathing,1,0,0,1,positive
Arugam Bay,Seafood tasting,5,2,2,9,positive
Arugam Bay,Shopping,23,4,23,50,positive
Arugam Bay,Sightseeing,1,0,0,1,positive
Arugam Bay,Snorkelling,1,0,0,1,positive
Arugam Bay,Spa treatment,1,0,2,3,neutral
Arugam Bay,Street food tasting,2,0,1,3,positive
Arugam Bay,Sunbathing,4,0,3,7,positive
Arugam Bay,Sunrise watching,10,0,6,16,positive
Arugam Bay,Sunset watching,9,0,2,11,positive
Arugam Bay,Surfing,203,21,159,383,positive
Arugam Bay,Swimming,28,9,13,50,positive
Arugam Bay,Temple visit,1,0,0,1,positive
Arugam Bay,Train ride,1,0,0,1,positive
Arugam Bay,Trekking,0,0,1,1,neutral
Arugam Bay,Viewpoint visit,0,0,1,1,neutral
Arugam Bay,Waterfall visit,0,1,0,1,negative
Arugam Bay,Wind surfing,1,0,1,2,positive
Arugam Bay,Yoga,6,0,3,9,positive
Bahiravokanda Vihara Buddha Statue,Ancient city visit,0,0,1,1,neutral
Bahiravokanda Vihara Buddha Statue,Hiking,4,2,3,9,positive
Bahiravokanda Vihara Buddha Statue,Meditation,5,1,8,14,neutral
Bahiravokanda Vihara Buddha Statue,Mountain climbing,0,0,1,1,neutral
Bahiravokanda Vihara Buddha Statue,Photography,27,2,12,41,positive
Bahiravokanda Vihara Buddha Statue,Pilgrimage,1,0,1,2,positive
Bahiravokanda Vihara Buddha Statue,Relaxing,8,0,2,10,positive
Bahiravokanda Vihara Buddha Statue,Religious visit,295,49,304,648,neutral
Bahiravokanda Vihara Buddha Statue,Shopping,7,1,10,18,neutral
Bahiravokanda Vihara Buddha Statue,Souvenir shopping,1,0,5,6,neutral
Bahiravokanda Vihara Buddha Statue,Sunbathing,0,0,1,1,neutral
Bahiravokanda Vihara Buddha Statue,Sunrise watching,2,0,3,5,neutral
Bahiravokanda Vihara Buddha Statue,Sunset watching,17,0,9,26,positive
Bahiravokanda Vihara Buddha Statue,Temple visit,295,49,304,648,neutral
Bahiravokanda Vihara Buddha Statue,Trekking,7,1,1,9,positive
Bahiravokanda Vihara Buddha Statue,Viewpoint visit,21,1,17,39,positive
Bahiravokanda Vihara Buddha Statue,Waterfall visit,0,1,0,1,negative
Baker's Falls,Forest walk,0,0,1,1,neutral
Baker's Falls,Hiking,12,3,16,31,neutral
Baker's Falls,Photography,13,1,4,18,positive
Baker's Falls,Relaxing,7,0,4,11,positive
Baker's Falls,Sunbathing,0,0,1,1,neutral
Baker's Falls,Swimming,1,1,3,5,neutral
Baker's Falls,Trekking,8,1,9,18,neutral
Baker's Falls,Viewpoint visit,0,1,3,4,neutral
Baker's Falls,Walking trail,0,0,1,1,neutral
Baker's Falls,Waterfall visit,61,9,70,140,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Camping,0,0,1,1,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Cycling,0,0,1,1,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Hiking,6,0,18,24,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Photography,4,0,2,6,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Relaxing,5,0,1,6,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Religious visit,0,0,1,1,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Rock climbing,0,0,1,1,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Ruins exploration,1,0,0,1,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Scenic drive,1,0,0,1,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Scenic train ride,2,0,0,2,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Shopping,0,0,1,1,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Swimming,4,0,4,8,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Trekking,2,0,2,4,positive
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Viewpoint visit,0,1,1,2,negative
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Waterfall visit,68,9,88,165,neutral
Batticaloa Fort,Boat ride,3,0,2,5,positive
Batticaloa Fort,Cycling,1,0,1,2,positive
Batticaloa Fort,Fishing,0,0,1,1,neutral
Batticaloa Fort,Fort visit,83,7,93,183,neutral
Batticaloa Fort,Heritage exploration,1,0,0,1,positive
Batticaloa Fort,Lagoon visit,0,0,1,1,neutral
Batticaloa Fort,Photography,2,0,0,2,positive
Batticaloa Fort,Ruins exploration,0,0,1,1,neutral
Batticaloa Fort,Shopping,0,0,1,1,neutral
Batticaloa Fort,Sightseeing,2,0,0,2,positive
Batticaloa Fort,Sunrise watching,1,0,0,1,positive
Batticaloa Fort,Viewpoint visit,1,0,0,1,positive
Beddegana Wetland Park,Bird watching,4,0,6,10,neutral
Beddegana Wetland Park,Photography,4,0,4,8,positive
Beddegana Wetland Park,Relaxing,6,0,0,6,positive
Beddegana Wetland Park,Sunrise watching,1,0,0,1,positive
Beddegana Wetland Park,Sunset watching,2,0,0,2,positive
Beddegana Wetland Park,Trekking,1,0,0,1,positive
Bentota Beach,Ayurveda wellness,1,0,1,2,positive
Bentota Beach,Beach relaxing,3,0,0,3,positive
Bentota Beach,Beach walking,6,1,6,13,positive
Bentota Beach,Boat ride,8,0,11,19,neutral
Bentota Beach,Body boarding,1,0,2,3,neutral
Bentota Beach,Canoeing,0,0,2,2,neutral
Bentota Beach,Diving,0,0,4,4,neutral
Bentota Beach,Fishing,3,1,4,8,neutral
Bentota Beach,Hiking,1,0,0,1,positive
Bentota Beach,Local food tasting,1,0,0,1,positive
Bentota Beach,Photography,6,0,3,9,positive
Bentota Beach,Relaxing,64,4,17,85,positive
Bentota Beach,Ruins exploration,1,0,0,1,positive
Bentota Beach,Safari,6,0,2,8,positive
Bentota Beach,Scuba diving,0,0,1,1,neutral
Bentota Beach,Sea bathing,2,0,0,2,positive
Bentota Beach,Seafood tasting,4,0,3,7,positive
Bentota Beach,Shopping,5,0,3,8,positive
Bentota Beach,Sightseeing,1,0,1,2,positive
Bentota Beach,Snorkelling,1,0,2,3,neutral
Bentota Beach,Souvenir shopping,1,0,1,2,positive
Bentota Beach,Spa treatment,4,0,4,8,positive
Bentota Beach,Sunbathing,9,0,6,15,positive
Bentota Beach,Sunrise watching,4,0,2,6,positive
Bentota Beach,Sunset watching,73,1,14,88,positive
Bentota Beach,Surfing,45,4,23,72,positive
Bentota Beach,Swimming,89,17,48,154,positive
Bentota Beach,Tea plantation visit,0,0,1,1,neutral
Bentota Beach,Temple visit,1,0,3,4,neutral
Bentota Beach,Train ride,2,0,1,3,positive
Bentota Beach,Whale watching,0,0,1,1,neutral
Bentota Beach,Wind surfing,1,0,1,2,positive
Bentota Beach,Yoga,0,0,1,1,neutral
Bogoda Wooden Bridge,Hiking,0,0,1,1,neutral
Bogoda Wooden Bridge,Museum visit,0,0,2,2,neutral
Bogoda Wooden Bridge,Photography,0,2,5,7,neutral
Bogoda Wooden Bridge,Pilgrimage,0,0,1,1,neutral
Bogoda Wooden Bridge,Religious visit,0,0,1,1,neutral
Bogoda Wooden Bridge,Shopping,0,0,1,1,neutral
Bogoda Wooden Bridge,Temple visit,4,0,8,12,neutral
Bopath Ella (Bopath Falls),Boat ride,0,0,1,1,neutral
Bopath Ella (Bopath Falls),Hiking,1,0,1,2,positive
Bopath Ella (Bopath Falls),Photography,1,0,0,1,positive
Bopath Ella (Bopath Falls),Picnic,0,0,1,1,neutral
Bopath Ella (Bopath Falls),Rafting,0,1,0,1,negative
Bopath Ella (Bopath Falls),Relaxing,1,0,0,1,positive
Bopath Ella (Bopath Falls),Ruins exploration,0,0,1,1,neutral
Bopath Ella (Bopath Falls),Scenic drive,0,0,2,2,neutral
Bopath Ella (Bopath Falls),Swimming,2,0,2,4,positive
Bopath Ella (Bopath Falls),Viewpoint visit,0,0,2,2,neutral
Bopath Ella (Bopath Falls),Waterfall visit,16,4,19,39,neutral
Brief Garden - Bevis Bawa,Camping,1,0,1,2,positive
Brief Garden - Bevis Bawa,Cycling,1,0,0,1,positive
Brief Garden - Bevis Bawa,Hiking,1,0,1,2,positive
Brief Garden - Bevis Bawa,Meditation,0,0,1,1,neutral
Brief Garden - Bevis Bawa,Museum visit,2,0,0,2,positive
Brief Garden - Bevis Bawa,Photography,33,0,27,60,positive
