place_name,activity,review_percentage,review_count,total_reviews,avg_confidence,dominant_sentiment
Aberdeen Falls,Waterfall visit,87.5,28,32,0.7416,neutral
Aberdeen Falls,Swimming,31.25,10,32,0.8708,neutral
Aberdeen Falls,Hiking,25.0,8,32,0.8793,neutral
Abhayagiri Dagaba,Religious visit,22.56,30,133,0.7398,neutral
Abhayagiri Dagaba,Ancient city visit,21.05,28,133,0.7543,positive
Ancient City of Polonnaruwa,Ancient city visit,84.6,423,500,0.743,neutral
Ancient City of Polonnaruwa,Ruins exploration,29.2,146,500,0.7489,neutral
Ancient City of Polonnaruwa,Museum visit,16.0,80,500,0.7683,positive
Angurukaramulla Temple,Temple visit,76.67,138,180,0.7564,neutral
Angurukaramulla Temple,Religious visit,10.0,18,180,0.7475,positive
Arugam Bay,Surfing,61.49,206,335,0.8883,positive
Arugam Bay,Relaxing,24.18,81,335,0.8608,positive
Arugam Bay,Swimming,12.54,42,335,0.8956,positive
Arugam Bay,Shopping,10.75,36,335,0.8834,positive
Bahiravokanda Vihara Buddha Statue,Religious visit,77.2,386,500,0.7476,neutral
Bahiravokanda Vihara Buddha Statue,Temple visit,77.2,386,500,0.7509,neutral
Baker's Falls,Waterfall visit,70.4,88,125,0.7424,neutral
Baker's Falls,Hiking,16.8,21,125,0.8826,neutral
Baker's Falls,Photography,13.6,17,125,0.8544,positive
Baker's Falls,Trekking,12.0,15,125,0.8833,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Waterfall visit,80.19,85,106,0.7508,neutral
"Bambarakanda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Hiking,16.04,17,106,0.8767,neutral
Batticaloa Fort,Fort visit,77.97,92,118,0.7542,neutral
Beddegana Wetland Park,Photography,20.0,8,40,0.8638,positive
Beddegana Wetland Park,Bird watching,17.5,7,40,0.886,neutral
Beddegana Wetland Park,Relaxing,15.0,6,40,0.8717,positive
Bentota Beach,Swimming,22.33,134,600,0.8941,positive
Bentota Beach,Sunset watching,12.33,74,600,0.8681,positive
Bentota Beach,Relaxing,11.5,69,600,0.8681,positive
Bentota Beach,Surfing,10.83,65,600,0.8942,positive
Bogoda Wooden Bridge,Temple visit,21.95,9,41,0.7408,neutral
Bopath Ella (Bopath Falls),Waterfall visit,64.29,27,42,0.7497,neutral
Brief Garden - Bevis Bawa,Photography,13.53,54,399,0.8557,positive
Buduruwagala Temple,Temple visit,70.09,82,117,0.7492,neutral
Casuarina Beach,Swimming,22.96,45,196,0.892,positive
Ceylon Tea Museum,Museum visit,81.35,397,488,0.7513,positive
Ceylon Tea Museum,Shopping,15.78,77,488,0.8859,neutral
Coconut Tree Hill,Photography,44.0,55,125,0.8635,positive
Coconut Tree Hill,Sunset watching,34.4,43,125,0.8579,positive
Coconut Tree Hill,Viewpoint visit,11.2,14,125,0.888,positive
Colombo Lotus Tower,Viewpoint visit,24.0,18,75,0.8822,positive
Colombo National Museum,Museum visit,75.2,376,500,0.7563,positive
Dagoba of Thuparama,Religious visit,65.15,86,132,0.7426,neutral
Dagoba of Thuparama,Ancient city visit,15.91,21,132,0.7419,neutral
Dagoba of Thuparama,Photography,10.61,14,132,0.8486,neutral
Dambulla Cave Temple,Temple visit,77.6,388,500,0.7512,neutral
Dehiwala Zoo - Sri Lanka,Relaxing,10.2,5,49,0.856,positive
Demodara Loop,Train ride,21.43,27,126,0.8866,positive
Devon Falls,Waterfall visit,53.2,108,203,0.743,neutral
Devon Falls,Photography,18.23,37,203,0.86,positive
Devon Falls,Viewpoint visit,13.3,27,203,0.8803,neutral
Diyaluma Falls,Waterfall visit,72.67,125,172,0.748,neutral
Diyaluma Falls,Swimming,25.0,43,172,0.8914,positive
Diyaluma Falls,Hiking,23.26,40,172,0.888,positive
Diyaluma Falls,Photography,18.6,32,172,0.8571,positive
Diyatha Uyana,Relaxing,48.41,61,126,0.8598,positive
Diyatha Uyana,Shopping,20.63,26,126,0.8832,positive
Dondra Head Lighthouse,Photography,11.86,14,118,0.8647,positive
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Waterfall visit,83.96,89,106,0.7499,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Hiking,13.21,14,106,0.8843,neutral
"Dunhinda FallsUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",Shopping,10.38,11,106,0.8792,neutral
Dutch Hospital Shopping Precinct,Shopping,68.37,536,784,0.8833,neutral
Dutch Hospital Shopping Precinct,Relaxing,10.2,80,784,0.8623,positive
Elephant Transit Home (ETH),Safari,10.6,53,500,0.8827,neutral
Ella Rock,Hiking,45.8,229,500,0.8863,positive
Embekka Devalaya,Temple visit,20.93,9,43,0.755,positive
Fort Frederick,Fort visit,80.47,173,215,0.7476,neutral
Fort Frederick,Temple visit,38.14,82,215,0.7627,neutral
Gal Oya National Park,Safari,42.47,31,73,0.8786,neutral
Gal Oya National Park,Boat safari,32.88,24,73,0.8815,positive
Gal Oya National Park,Boat ride,16.44,12,73,0.884,neutral
Gal Oya National Park,Swimming,16.44,12,73,0.8779,neutral
Gal Oya National Park,Elephant watching,15.07,11,73,0.8755,neutral
Gal Oya National Park,Camping,13.7,10,73,0.8747,neutral
Gal Oya National Park,Jeep safari,12.33,9,73,0.8843,positive
Gal Vihara,Temple visit,69.2,346,500,0.7459,neutral
Gal Vihara,Ancient city visit,21.0,105,500,0.7438,neutral
Gal Vihara,Religious visit,13.8,69,500,0.7427,positive
Galle Dutch Fort,Fort visit,81.33,488,600,0.7517,positive
Galle Dutch Fort,Shopping,34.33,206,600,0.8848,positive
Galle Dutch Fort,Sunset watching,10.83,65,600,0.8614,positive
Galle Face Green,Sunset watching,20.42,98,480,0.8602,positive
Galle Face Green,Street food tasting,18.96,91,480,0.881,neutral
Galle Face Green,Relaxing,17.92,86,480,0.8617,positive
Galle Fort Lighthouse,Fort visit,64.4,322,500,0.7496,positive
Galle Fort Lighthouse,Photography,28.0,140,500,0.8623,positive
Gangaramaya Temple,Temple visit,76.8,384,500,0.7595,positive
Goyambokka Beach,Swimming,30.98,92,297,0.8942,positive
Goyambokka Beach,Relaxing,14.81,44,297,0.8664,positive
Gregory Lake,Boat ride,28.2,141,500,0.887,positive
Gregory Lake,Relaxing,15.0,75,500,0.8634,positive
Handunugoda Tea Estate,Tea plantation visit,92.02,438,476,0.7496,positive
Handunugoda Tea Estate,Shopping,26.89,128,476,0.8838,neutral
Handunugoda Tea Estate,Tea tasting,18.49,88,476,0.8851,positive
Henerathgoda Botanical Garden,Relaxing,23.68,9,38,0.8577,positive
Hikkaduwa Beach,Surfing,22.83,137,600,0.8883,positive
Hikkaduwa Beach,Swimming,22.67,136,600,0.8881,positive
Hikkaduwa Beach,Snorkelling,21.17,127,600,0.8875,positive
Hikkaduwa Beach,Relaxing,14.0,84,600,0.8622,positive
Hiriketiya Beach,Surfing,64.57,82,127,0.8914,positive
Hiriketiya Beach,Swimming,24.41,31,127,0.8943,positive
Hiriketiya Beach,Relaxing,14.17,18,127,0.87,positive
Horton Plains National Park,Hiking,33.33,200,600,0.8877,positive
Horton Plains National Park,Waterfall visit,17.67,106,600,0.7487,positive
Horton Plains National Park,Trekking,13.67,82,600,0.8831,neutral
Hurulu Eco Park,Safari,43.79,148,338,0.8803,neutral
Hurulu Eco Park,Elephant watching,18.05,61,338,0.8761,neutral
Independence Memorial Hall,Photography,15.65,59,377,0.8591,positive
Independence Memorial Hall,Shopping,11.41,43,377,0.883,neutral
Isurumuniya Temple,Temple visit,71.76,188,262,0.751,neutral
Isurumuniya Temple,Ancient city visit,16.79,44,262,0.7542,positive
Jaffna Fort,Fort visit,76.48,348,455,0.75,neutral
Jaffna Public Library,Photography,13.9,26,187,0.8478,neutral
Jami Ul-Alfar Mosque,Religious visit,68.66,252,367,0.7453,neutral
Jami Ul-Alfar Mosque,Photography,15.8,58,367,0.8542,positive
Japanese Peace Pagoda - Rumassala,Sunset watching,16.4,82,500,0.8627,positive
Jaya Sri Maha Bodhi,Ancient city visit,11.27,48,426,0.7422,neutral
Jaya Sri Maha Bodhi,Pilgrimage,10.09,43,426,0.8781,neutral
Jungle Beach,Swimming,20.17,121,600,0.8929,positive
Jungle Beach,Snorkelling,12.83,77,600,0.8916,positive
Kabalana Beach,Surfing,50.0,15,30,0.894,positive
Kalametiya Eco Bird Watching,Bird watching,31.58,84,266,0.8855,positive
Kalametiya Eco Bird Watching,Photography,15.04,40,266,0.857,positive
Kalametiya Eco Bird Watching,Boat ride,14.29,38,266,0.8888,positive
Kalametiya Eco Bird Watching,Sunset watching,10.15,27,266,0.8611,positive
Kalutara Bodhiya,Temple visit,27.92,67,240,0.7777,positive
Kalutara Bodhiya,Religious visit,12.92,31,240,0.7605,positive
Kande Viharaya Temple,Temple visit,79.51,97,122,0.7621,neutral
Kande Viharaya Temple,Religious visit,18.03,22,122,0.7409,neutral
Kande Viharaya Temple,Photography,13.11,16,122,0.8539,positive
Kandy Lake,Temple visit,11.5,69,600,0.7668,positive
Kandy Lake,Relaxing,10.17,61,600,0.8626,positive
Kandy View Point,Viewpoint visit,34.4,172,500,0.8838,positive
Kandy View Point,Photography,21.8,109,500,0.863,positive
Kataragama Temple,Temple visit,78.91,232,294,0.7513,neutral
Kataragama Temple,Pilgrimage,19.73,58,294,0.8742,neutral
Kaudulla National Park,Safari,42.2,211,500,0.8803,neutral
Kaudulla National Park,Elephant watching,16.0,80,500,0.8873,positive
Kaudulla National Park,Jeep safari,10.6,53,500,0.8759,neutral
Keerimalai Hot springs,Swimming,18.94,25,132,0.8797,neutral
Kelaniya Raja Maha Vihara,Temple visit,79.6,398,500,0.7504,neutral
Kelaniya Raja Maha Vihara,Religious visit,30.8,154,500,0.734,neutral
Kiri Vehera,Pilgrimage,26.92,7,26,0.864,neutral
Kirinda Viharaya,Temple visit,72.41,42,58,0.7531,positive
Knuckles Mountain Range,Hiking,30.92,77,249,0.8827,positive
Knuckles Mountain Range,Trekking,29.72,74,249,0.8817,neutral
