place_name,facility,total_mentions,positive_count,negative_count,neutral_count,sentiment_score,majority_sentiment,supporting_review_count,sample_evidence_chunk_ids
Aberdeen Falls,Accommodation,8,2,0,6,0.25,neutral,8,REV013124_F001;REV013128_F005;REV013129_F003;REV013130_F001;REV013138_F001;REV013145_F001;REV013147_F001;REV013154_F001
Aberdeen Falls,Bridge,3,0,1,2,-0.333,neutral,3,REV013127_F001;REV013129_F001;REV013147_F004
Aberdeen Falls,Brochure,1,1,0,0,1.0,positive,1,REV013134_F001
Aberdeen Falls,Cafe,1,0,0,1,0.0,neutral,1,REV013127_F003
Aberdeen Falls,Drinking water,1,1,0,0,1.0,positive,1,REV013138_F001
Aberdeen Falls,Food stall,1,0,0,1,0.0,neutral,1,REV013127_F004
Aberdeen Falls,Guide service,1,0,0,1,0.0,neutral,1,REV013143_F001
Aberdeen Falls,Parking,5,2,0,3,0.4,neutral,4,REV013128_F001;REV013128_F005;REV013130_F001;REV013151_F002;REV013152_F001
Aberdeen Falls,Road access,4,0,0,4,0.0,neutral,4,REV013135_F001;REV013139_F001;REV013147_F002;REV013153_F001
Aberdeen Falls,Seating,1,0,0,1,0.0,neutral,1,REV013128_F005
Aberdeen Falls,Shop,1,0,0,1,0.0,neutral,1,REV013127_F003
Aberdeen Falls,Shower,1,0,0,1,0.0,neutral,1,REV013132_F002
Aberdeen Falls,Signage,2,0,0,2,0.0,neutral,2,REV013149_F001;REV013151_F001
Aberdeen Falls,Steps or stairs,8,1,2,5,-0.125,neutral,6,REV013127_F002;REV013127_F003;REV013128_F002;REV013129_F002;REV013132_F001;REV013132_F002;REV013135_F002;REV013147_F003
Aberdeen Falls,Toilet,1,1,0,0,1.0,positive,1,REV013128_F006
Aberdeen Falls,Tuk tuk service,2,0,0,2,0.0,neutral,2,REV013141_F001;REV013153_F002
Aberdeen Falls,View platform,3,0,0,3,0.0,neutral,2,REV013128_F003;REV013128_F004;REV013131_F001
