place_name,Accessibility ramp__mentions,Accessibility ramp__score,Accommodation__mentions,Accommodation__score,Bike rental__mentions,Bike rental__score,Boardwalk__mentions,Boardwalk__score,Boat rental__mentions,Boat rental__score,Boat service__mentions,Boat service__score,Bridge__mentions,Bridge__score,Brochure__mentions,Brochure__score,Cafe__mentions,Cafe__score,Camping facility__mentions,Camping facility__score,Changing room__mentions,Changing room__score,Clothing cover service__mentions,Clothing cover service__score,Diving equipment rental__mentions,Diving equipment rental__score,Donation box__mentions,Donation box__score,Drinking water__mentions,Drinking water__score,Entrance fee__mentions,Entrance fee__score,First aid__mentions,First aid__score,Food stall__mentions,Food stall__score,General facilities__mentions,General facilities__score,Guide service__mentions,Guide service__score,Handrail__mentions,Handrail__score,Information board__mentions,Information board__score,Jeep service__mentions,Jeep service__score,Life jacket__mentions,Life jacket__score,Lifeguard service__mentions,Lifeguard service__score,Lighting__mentions,Lighting__score,Locker__mentions,Locker__score,Market stalls__mentions,Market stalls__score,Multilingual information__mentions,Multilingual information__score,Parking__mentions,Parking__score,Pathway__mentions,Pathway__score,Public transport access__mentions,Public transport access__score,Rest area__mentions,Rest area__score,Restaurant__mentions,Restaurant__score,Road access__mentions,Road access__score,Safety barrier__mentions,Safety barrier__score,Scooter rental__mentions,Scooter rental__score,Seating__mentions,Seating__score,Security__mentions,Security__score,Shade or shelter__mentions,Shade or shelter__score,Shoe storage__mentions,Shoe storage__score,Shop__mentions,Shop__score,Shower__mentions,Shower__score,Signage__mentions,Signage__score,Snorkelling equipment rental__mentions,Snorkelling equipment rental__score,Souvenir shop__mentions,Souvenir shop__score,Steps or stairs__mentions,Steps or stairs__score,Surfboard rental__mentions,Surfboard rental__score,Taxi service__mentions,Taxi service__score,Ticket counter__mentions,Ticket counter__score,Ticket or receipt__mentions,Ticket or receipt__score,Toilet__mentions,Toilet__score,Towel service__mentions,Towel service__score,Train service__mentions,Train service__score,Tuk tuk service__mentions,Tuk tuk service__score,View platform__mentions,View platform__score,Visitor centre__mentions,Visitor centre__score,Waste bins__mentions,Waste bins__score
Aberdeen Falls,0,,8,0.25,0,,0,,0,,0,,3,-0.333,1,1.0,1,0.0,0,,0,,0,,0,,0,,1,1.0,0,,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,5,0.4,0,,0,,0,,0,,4,0.0,0,,0,,1,0.0,0,,0,,0,,1,0.0,1,0.0,2,0.0,0,,0,,8,-0.125,0,,0,,0,,0,,1,1.0,0,,0,,2,0.0,3,0.0,0,,0,
Abhayagiri Dagaba,0,,4,0.0,0,,0,,0,,0,,0,,3,0.667,0,,0,,0,,2,0.5,0,,2,0.0,1,0.0,10,0.4,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,0.667,1,-1.0,0,,0,,2,1.0,0,,0,,0,,1,1.0,5,0.2,3,0.333,3,-0.667,1,0.0,0,,3,0.0,0,,0,,3,0.0,0,,0,,0,,10,0.2,1,0.0,0,,0,,7,0.286,0,,1,1.0,0,
Ambewela Farms,3,-0.333,6,-0.5,0,,0,,0,,0,,0,,1,-1.0,23,0.13,0,,0,,0,,0,,0,,0,,32,0.0,0,,10,0.4,10,0.7,5,-0.2,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.5,0,,3,0.333,0,,29,0.0,9,0.333,2,-0.5,0,,0,,0,,3,0.333,0,,22,0.136,1,0.0,1,0.0,0,,0,,0,,0,,2,0.0,1,1.0,22,0.091,12,0.333,0,,3,0.333,1,1.0,0,,0,,1,0.0
Ambuluwawa Tower,0,,0,,0,,0,,0,,0,,0,,0,,4,0.25,0,,0,,0,,0,,0,,0,,12,0.167,0,,0,,0,,0,,3,-0.333,0,,0,,0,,0,,0,,0,,0,,0,,3,0.0,1,0.0,2,0.0,0,,1,1.0,1,0.0,5,-0.2,0,,0,,0,,0,,0,,1,1.0,0,,1,0.0,0,,2,-0.5,48,-0.125,0,,6,-0.167,1,0.0,6,0.667,4,0.0,0,,0,,29,0.138,4,0.25,0,,0,
Ancient City of Polonnaruwa,2,0.5,17,0.118,22,0.091,0,,0,,1,0.0,0,,35,0.257,4,0.0,0,,0,,6,0.333,0,,1,0.0,2,0.0,111,0.063,0,,7,0.143,2,0.5,68,0.279,0,,8,-0.25,0,,0,,1,1.0,1,-1.0,1,-1.0,0,,9,0.222,18,-0.111,0,,1,0.0,0,,7,0.286,2,0.5,4,0.0,1,0.0,1,1.0,12,-0.083,12,0.167,20,-0.1,4,0.0,0,,30,0.3,0,,6,0.5,4,0.0,0,,4,0.0,26,0.038,110,0.009,8,0.625,0,,0,,87,0.161,0,,1,0.0,0,
Angurukaramulla Temple,0,,8,0.625,0,,0,,0,,0,,0,,8,0.0,0,,0,,0,,5,0.0,0,,60,-0.033,0,,35,-0.2,0,,0,,1,0.0,26,0.154,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,2,0.5,0,,0,,0,,0,,2,0.0,0,,1,0.0,0,,1,-1.0,1,0.0,5,0.0,1,0.0,0,,5,-0.2,0,,0,,0,,0,,2,0.0,1,-1.0,3,-0.667,0,,0,,0,,30,0.033,0,,0,,0,
Arugam Bay,0,,161,0.168,2,0.5,0,,0,,1,0.0,6,0.5,3,0.0,12,0.333,0,,0,,1,0.0,0,,0,,0,,31,0.129,0,,7,0.143,2,0.0,6,0.167,0,,0,,2,0.5,0,,3,0.333,1,0.0,0,,0,,0,,4,0.0,0,,2,1.0,0,,117,0.214,4,0.25,1,0.0,3,0.333,3,-0.333,6,0.167,3,-0.333,0,,38,0.263,4,0.75,2,-1.0,0,,0,,7,0.0,1,0.0,26,0.231,0,,3,0.667,9,0.556,2,0.0,1,-1.0,53,0.358,1,0.0,0,,0,
Bahiravokanda Vihara Buddha Statue,1,-1.0,9,-0.111,0,,0,,0,,0,,0,,3,-0.667,2,0.0,0,,0,,3,0.0,0,,70,-0.014,0,,131,0.015,0,,3,-0.333,0,,4,0.25,0,,0,,0,,0,,0,,2,0.5,0,,0,,2,0.0,1,0.0,0,,0,,0,,1,1.0,11,-0.364,0,,0,,1,0.0,5,0.2,1,-1.0,25,0.04,11,0.182,0,,6,-0.833,0,,12,0.083,118,0.042,0,,12,0.083,1,0.0,20,-0.05,9,0.0,0,,1,0.0,117,0.179,6,0.0,1,0.0,0,
Baker's Falls,0,,3,0.0,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,2,0.5,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,2,0.5,3,0.0,0,,0,,0,,0,,1,0.0,0,,2,0.0,0,,2,-0.5,0,,0,,1,1.0,2,0.5,0,,0,,16,-0.188,0,,0,,0,,1,0.0,1,1.0,0,,0,,1,0.0,8,0.375,0,,0,
Bambarakanda Falls,0,,8,0.375,0,,0,,0,,0,,4,0.0,3,0.0,1,0.0,0,,0,,1,0.0,0,,0,,0,,19,0.053,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,0.333,8,0.125,0,,0,,0,,19,-0.105,0,,0,,4,0.25,1,0.0,2,0.5,0,,1,0.0,6,0.167,2,0.0,0,,0,,13,0.077,0,,0,,8,0.25,23,0.13,9,0.444,0,,3,0.333,9,0.222,1,0.0,0,,0,
