place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence,place_total_mentions,TF,doc_freq,IDF,TF_IDF,defining_score
Aberdeen Falls,Waterfall,18,2,6,26,positive,0.803,It is well worth the trip to this awesome waterfall.,54,0.48148148148148145,24,1.927891643552635,0.9282441246734908,0.7453800321128132
Aberdeen Falls,Leeches,0,5,0,5,negative,0.8,"jungle on a uneven path that became smaller and smaller.We saw butterflies and reptiles, but als discovered the path was full of leeches, and we were dresses in shorts with slippers...Two of us returned halfway to the car, the rest made it to the falls: what a majestic waterfall, what a noise!",54,0.09259259259259259,8,3.0265039322207445,0.28023184557599484,0.2241854764607959
Aberdeen Falls,Rock formation,1,2,4,7,neutral,0.766,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers.",54,0.12962962962962962,20,2.1102132003465894,0.2735461556004838,0.20953635518997057
Aberdeen Falls,River,2,0,3,5,neutral,0.78,It's an impressive 98m fall that joins Kehelgamuwa river and Maskeli river and also known as the most beautiful location of the Kehelgamuwa river.,54,0.09259259259259259,33,1.6094379124341003,0.14902202892908334,0.116237182564685
Aberdeen Falls,Stairs,1,1,3,5,neutral,0.764,There are steps and few leeches.,54,0.09259259259259259,47,1.255797872190522,0.11627758075838167,0.0888360716994036
Aberdeen Falls,Safety,4,2,0,6,positive,0.827,"We changed into swimminggear just on the rocks besides the fall, because nobody was there and carefully we stepped into the water...There are warnings not to swim because of the heavy currents: that is no understatement, but proved no to be a problem for us as good swimmers.",54,0.1111111111111111,86,0.651598177647073,0.07239979751634143,0.05987463254601436
Abhayagiri Dagaba,Stupa,33,5,54,92,neutral,0.772,The Abhayagiri Dagoba will be spectacular once its sheds its bamboo skirt.,264,0.3484848484848485,29,1.7386496439141066,0.6058930577276432,0.4677494405657406
Abhayagiri Dagaba,Ancient ruins,8,1,10,19,neutral,0.777,Moonstones and extensive monastery ruins are the best,264,0.07196969696969698,23,1.9704512579714308,0.14181277992976207,0.11018853000542514
Abhayagiri Dagaba,Buddha statue,10,2,7,19,positive,0.809,"sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc.",264,0.07196969696969698,47,1.255797872190522,0.09037939231674212,0.07311692838424438
Abhayagiri Dagaba,Temple,8,2,17,27,neutral,0.768,"and monuments of ancient ruins such as great dagabas, temples with great sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc.",264,0.10227272727272728,76,0.7752121336142496,0.07928305911963916,0.06088938940388288
Abhayagiri Dagaba,Heritage site,4,0,7,11,neutral,0.784,"At the Dagoba a big Buddha footprint is on the north side, this site has a feeling of strength and bas reliefs and inside the inside section many beautiful Buddhas to look at we always have small compass attached to our day pack and you find this a handy item when touring all historical sites.",264,0.041666666666666664,30,1.7047480922384253,0.07103117050993438,0.05568843767978855
Abhayagiri Dagaba,Museum,3,2,4,9,neutral,0.773,There is a nice guidebook for sale in the museum attached to the Isurumuni Vihara monument for R250 22pages of A4 colour pics and detailed accounts of the main sites that shows how overgrown this was before it was restored.,264,0.03409090909090909,36,1.5224265354444706,0.05190090461742513,0.04011939926926963
Abhayagiri Dagaba,Sculptures,6,0,6,12,positive,0.777,If you are in the area I would recommend that you also visit the ruins of King Mahasen’s Palace to see an exquisite example of a moonstone doorstep with finely detailed symbolic carvings; the Ratnaprasada (Gem Place) for the guardstone; and the Mahapali Refectory with its huge rice trough and bathing pools.,264,0.045454545454545456,55,1.0986122886681098,0.04993692221218681,0.038800988558869154
Abhayagiri Dagaba,Paintings,3,0,2,5,positive,0.792,"This is a big mound and the building in front of it with the reclining buddha (a good one due to patterns on the palms) has painting showing the construction of it, basically shaping and bricking a hill.",264,0.01893939393939394,29,1.7386496439141066,0.032928970528676264,0.0260797446587116
