place_name,Beach_mentions,Sandy beach_mentions,Rocky beach_mentions,Sea_mentions,Waves_mentions,Lagoon_mentions,Lake_mentions,River_mentions,Waterfall_mentions,Coral reef_mentions,Mountain_mentions,Rock formation_mentions,Cave_mentions,Forest_mentions,Tea plantation_mentions,Viewpoint_mentions,Scenic view_mentions,Sunset view_mentions,Sunrise view_mentions,Wildlife_mentions,Elephants_mentions,Turtles_mentions,Whales_mentions,Dolphins_mentions,Birds_mentions,Leopards_mentions,Temple_mentions,Stupa_mentions,Buddha statue_mentions,Murals_mentions,Paintings_mentions,Sculptures_mentions,Cave temple_mentions,Ancient ruins_mentions,Fortress_mentions,Fort_mentions,Colonial architecture_mentions,Museum_mentions,Lighthouse_mentions,Church_mentions,Mosque_mentions,Hindu shrine_mentions,Heritage site_mentions,Entrance fee_mentions,Ticket price_mentions,Parking_mentions,Toilets_mentions,Changing rooms_mentions,Restaurants_mentions,Cafes_mentions,Shops_mentions,Market_mentions,Souvenir stalls_mentions,Accommodation_mentions,Guided tours_mentions,Local guide_mentions,Signage_mentions,Information boards_mentions,Road access_mentions,Public transport access_mentions,Stairs_mentions,Trail_mentions,Bridge_mentions,Boat service_mentions,Crowdedness_mentions,Cleanliness_mentions,Safety_mentions,Accessibility_mentions,Family friendliness_mentions,Peacefulness_mentions,Noise level_mentions,Service quality_mentions,Value for money_mentions,Food quality_mentions,Water clarity_mentions,Water depth_mentions,Strong current_mentions,Leeches_mentions,Weather condition_mentions,Beach_sentiment_score,Sandy beach_sentiment_score,Rocky beach_sentiment_score,Sea_sentiment_score,Waves_sentiment_score,Lagoon_sentiment_score,Lake_sentiment_score,River_sentiment_score,Waterfall_sentiment_score,Coral reef_sentiment_score,Mountain_sentiment_score,Rock formation_sentiment_score,Cave_sentiment_score,Forest_sentiment_score,Tea plantation_sentiment_score,Viewpoint_sentiment_score,Scenic view_sentiment_score,Sunset view_sentiment_score,Sunrise view_sentiment_score,Wildlife_sentiment_score,Elephants_sentiment_score,Turtles_sentiment_score,Whales_sentiment_score,Dolphins_sentiment_score,Birds_sentiment_score,Leopards_sentiment_score,Temple_sentiment_score,Stupa_sentiment_score,Buddha statue_sentiment_score,Murals_sentiment_score,Paintings_sentiment_score,Sculptures_sentiment_score,Cave temple_sentiment_score,Ancient ruins_sentiment_score,Fortress_sentiment_score,Fort_sentiment_score,Colonial architecture_sentiment_score,Museum_sentiment_score,Lighthouse_sentiment_score,Church_sentiment_score,Mosque_sentiment_score,Hindu shrine_sentiment_score,Heritage site_sentiment_score,Entrance fee_sentiment_score,Ticket price_sentiment_score,Parking_sentiment_score,Toilets_sentiment_score,Changing rooms_sentiment_score,Restaurants_sentiment_score,Cafes_sentiment_score,Shops_sentiment_score,Market_sentiment_score,Souvenir stalls_sentiment_score,Accommodation_sentiment_score,Guided tours_sentiment_score,Local guide_sentiment_score,Signage_sentiment_score,Information boards_sentiment_score,Road access_sentiment_score,Public transport access_sentiment_score,Stairs_sentiment_score,Trail_sentiment_score,Bridge_sentiment_score,Boat service_sentiment_score,Crowdedness_sentiment_score,Cleanliness_sentiment_score,Safety_sentiment_score,Accessibility_sentiment_score,Family friendliness_sentiment_score,Peacefulness_sentiment_score,Noise level_sentiment_score,Service quality_sentiment_score,Value for money_sentiment_score,Food quality_sentiment_score,Water clarity_sentiment_score,Water depth_sentiment_score,Strong current_sentiment_score,Leeches_sentiment_score,Weather condition_sentiment_score
Aberdeen Falls,0,3,0,0,0,0,1,5,26,0,4,7,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,1,0,13,3,5,10,2,0,2,2,6,1,4,3,1,1,0,0,0,4,2,5,2,,0.3333,,,,,0.0,0.4,0.6154,,0.25,-0.1429,,-0.3333,,0.0,0.6,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,1.0,0.5,1.0,,,0.0,0.0,,,,,,0.0,,-0.0769,-0.3333,0.0,0.2,0.0,,-1.0,0.0,0.3333,1.0,0.5,1.0,-1.0,1.0,,,,0.0,0.5,-1.0,-1.0
Abhayagiri Dagaba,1,1,0,0,1,0,1,0,0,0,3,1,0,4,0,0,7,0,0,0,2,0,0,0,1,0,27,92,19,0,5,12,0,19,0,0,0,9,0,1,0,3,11,5,11,3,1,0,2,0,1,0,2,3,0,5,2,0,1,5,4,0,0,0,8,5,3,2,0,18,1,1,6,2,0,1,0,0,22,0.0,-1.0,,,1.0,,1.0,,,,0.3333,0.0,,0.5,,,0.0,,,,1.0,,,,1.0,,0.2222,0.3043,0.4211,,0.6,0.5,,0.3684,,,,0.1111,,0.0,,-0.3333,0.3636,0.2,-0.0909,-0.3333,0.0,,0.5,,0.0,,-0.5,0.0,,0.0,0.0,,0.0,-0.2,0.75,,,,-0.375,0.6,0.6667,1.0,,1.0,-1.0,1.0,0.3333,0.0,,0.0,,,-1.0
Ambewela Farms,0,0,0,1,0,0,6,0,4,0,34,0,0,0,3,0,103,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,51,2,10,0,28,6,24,2,1,4,2,12,4,0,28,4,2,3,0,0,13,39,1,2,82,3,1,19,16,19,0,0,0,0,45,,,,0.0,,,0.6667,,1.0,,0.5882,,,,0.6667,,0.7087,,,0.2877,,,,,,,,,,,,,,1.0,,,,,,,,,,0.1765,0.098,0.0,0.4,,0.2857,0.5,0.4167,0.5,0.0,-0.25,0.0,0.25,0.25,,0.1786,0.25,0.5,0.6667,,,-0.6154,0.6923,0.0,0.5,0.561,1.0,-1.0,0.3684,0.625,0.8421,,,,,-0.3111
Ambuluwawa Tower,0,0,0,3,0,0,0,0,0,0,26,2,1,0,1,2,75,0,0,0,0,0,0,0,1,0,10,3,0,0,1,0,0,0,0,0,0,0,0,7,6,8,0,6,12,3,3,0,1,4,4,0,1,0,0,0,0,0,7,22,33,3,0,0,12,5,12,0,6,7,0,3,9,1,0,1,0,0,6,,,,0.3333,,,,,,,0.5769,0.5,0.0,,1.0,1.0,0.68,,,,,,,,0.0,,0.4,0.3333,,,1.0,,,,,,,,,0.2857,0.3333,0.25,,0.0,0.1667,-0.3333,0.3333,,1.0,0.25,0.5,,0.0,,,,,,0.4286,0.0909,0.0606,0.0,,,-1.0,-0.2,-0.6667,,-0.3333,1.0,,-0.3333,-0.3333,-1.0,,1.0,,,-0.6667
Ancient City of Polonnaruwa,2,5,0,7,0,0,17,0,1,0,2,35,2,12,0,0,17,0,0,8,4,0,0,0,3,0,141,22,66,2,5,72,3,269,10,0,1,141,0,0,0,17,80,42,110,12,7,0,5,3,6,0,23,14,25,181,25,6,21,77,6,5,0,3,32,23,12,2,39,19,1,13,52,12,0,3,0,0,103,-0.5,-1.0,,-0.1429,,,0.1765,,0.0,,0.0,0.5714,0.5,0.5,,,0.5882,,,0.5,0.5,,,,1.0,,0.3262,0.5,0.4394,0.5,0.2,0.5278,0.0,0.5465,0.4,,0.0,0.2766,,,,0.1765,0.3625,-0.119,0.1,0.0,0.4286,,0.0,0.0,0.1667,,0.2609,0.3571,0.2,0.442,0.36,0.0,0.2381,0.3377,0.3333,0.4,,0.6667,-0.6562,0.4783,0.5,1.0,0.0513,1.0,-1.0,0.4615,-0.4615,0.25,,0.3333,,,-0.8738
Angurukaramulla Temple,9,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,5,0,0,2,0,3,0,0,1,0,150,5,49,15,40,60,1,4,0,2,0,1,0,4,0,8,3,10,16,1,0,0,0,0,1,4,1,7,5,25,9,2,1,27,0,0,0,1,7,7,2,2,7,27,0,3,16,0,0,2,0,0,5,0.4444,,,,,1.0,,1.0,,,0.0,1.0,1.0,,,,0.4,,,-0.5,,0.3333,,,0.0,,0.6467,0.4,0.5306,0.5333,0.525,0.6667,1.0,0.0,,0.0,,1.0,,0.5,,0.0,0.0,0.0,0.125,1.0,,,,,0.0,0.5,1.0,0.5714,0.6,0.4,0.4444,0.0,0.0,0.2593,,,,0.0,-0.4286,0.7143,1.0,1.0,0.4286,1.0,,0.3333,0.25,,,0.5,,,-0.4
Arugam Bay,234,30,0,42,163,15,2,1,2,4,19,16,1,4,0,1,27,13,17,12,25,1,0,0,8,4,6,0,1,0,1,1,0,1,0,0,1,0,2,0,1,1,0,0,53,2,9,0,88,10,37,6,0,87,0,2,5,0,31,52,2,10,6,18,53,53,29,2,30,37,8,43,53,98,1,1,6,0,30,0.5684,0.5333,,0.381,0.5828,0.5333,0.0,0.0,1.0,0.5,0.0,-0.125,0.0,0.0,,0.0,0.6667,0.8462,0.5294,0.5,0.28,0.0,,,0.25,0.5,0.1667,,0.0,,1.0,0.0,,1.0,,,0.0,,0.5,,1.0,0.0,,,0.2075,0.0,0.5556,,0.3523,0.5,0.3243,0.3333,,0.3793,,0.0,0.0,,0.2258,0.2885,1.0,0.4,0.3333,0.5,-0.6415,0.3208,0.2069,0.0,0.6667,0.8919,-1.0,0.6744,-0.0566,0.602,1.0,1.0,-0.1667,,-0.6
Bahiravokanda Vihara Buddha Statue,0,0,0,2,0,0,38,1,1,0,148,0,1,0,0,39,372,21,4,1,0,0,0,0,3,0,161,1,254,1,8,252,1,0,1,0,0,1,1,0,0,10,2,77,95,1,6,0,1,2,24,0,8,9,0,5,9,0,33,112,88,5,0,0,28,24,5,4,5,75,0,9,34,1,0,1,0,0,33,,,,0.0,,,0.6053,1.0,0.0,,0.3311,,0.0,,,0.5128,0.836,0.6667,0.5,0.0,,,,,0.3333,,0.5031,0.0,0.4803,1.0,0.75,0.5635,0.0,,0.0,,,1.0,0.0,,,0.4,0.5,0.1429,0.1263,0.0,0.0,,1.0,0.5,0.2917,,0.0,0.1111,,0.2,0.1111,,0.0303,0.1429,0.1477,0.0,,,-0.3214,0.0,0.2,0.75,0.2,1.0,,0.7778,0.4118,1.0,,0.0,,,-0.8182
Baker's Falls,0,0,0,0,0,0,0,2,103,0,5,8,0,5,1,5,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,2,0,1,3,0,2,1,17,33,0,0,7,4,5,3,5,2,2,0,7,0,1,1,0,0,13,,,,,,,,0.0,0.6505,,0.4,0.25,,0.2,0.0,0.0,0.3704,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.3333,0.0,0.5,1.0,,,,,,,0.0,,0.0,0.6667,,0.5,0.0,0.1765,0.303,,,-1.0,0.5,0.4,0.3333,0.0,1.0,-1.0,,0.4286,,1.0,0.0,,,-0.5385
Bambarakanda Falls,0,0,0,0,0,0,2,1,88,0,9,4,0,18,0,4,34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,22,8,9,0,0,1,1,0,2,2,0,3,6,0,40,12,14,20,3,0,6,9,11,3,5,4,0,0,5,2,0,2,0,2,11,,,,,,,0.0,0.0,0.5,,0.2222,0.25,,0.3889,,0.25,0.6765,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.2,0.2727,0.25,0.3333,,,0.0,0.0,,0.5,0.0,,-0.3333,0.1667,,0.225,0.1667,0.1429,0.1,0.3333,,-0.6667,0.7778,-0.1818,0.3333,0.2,1.0,,,0.2,0.0,,0.5,,-1.0,-0.8182
