place_name,feature,review_percentage,review_count,total_reviews,avg_confidence,dominant_sentiment
Aberdeen Falls,Waterfall,81.25,26,32.0,0.8031,positive
Aberdeen Falls,Road access,40.62,13,32.0,0.6615,neutral
Aberdeen Falls,Trail,31.25,10,32.0,0.716,positive
Aberdeen Falls,Rock formation,21.88,7,32.0,0.7657,neutral
Aberdeen Falls,Safety,18.75,6,32.0,0.8267,positive
Aberdeen Falls,Leeches,15.62,5,32.0,0.8,negative
Aberdeen Falls,River,15.62,5,32.0,0.78,neutral
Aberdeen Falls,Scenic view,15.62,5,32.0,0.732,positive
Aberdeen Falls,Stairs,15.62,5,32.0,0.764,neutral
Abhayagiri Dagaba,Stupa,69.17,92,133.0,0.7717,neutral
Abhayagiri Dagaba,Temple,20.3,27,133.0,0.7681,neutral
Abhayagiri Dagaba,Weather condition,16.54,22,133.0,0.7273,negative
Abhayagiri Dagaba,Ancient ruins,14.29,19,133.0,0.7768,neutral
Abhayagiri Dagaba,Buddha statue,14.29,19,133.0,0.8095,positive
Abhayagiri Dagaba,Peacefulness,13.53,18,133.0,0.8156,positive
Ambewela Farms,Scenic view,31.89,103,323.0,0.8006,positive
Ambewela Farms,Family friendliness,25.39,82,323.0,0.7522,positive
Ambewela Farms,Wildlife,22.6,73,323.0,0.7858,neutral
Ambewela Farms,Ticket price,15.79,51,323.0,0.7663,neutral
Ambewela Farms,Weather condition,13.93,45,323.0,0.7587,negative
Ambewela Farms,Cleanliness,12.07,39,323.0,0.879,positive
Ambewela Farms,Mountain,10.53,34,323.0,0.7776,positive
Ambuluwawa Tower,Scenic view,76.53,75,98.0,0.8208,positive
Ambuluwawa Tower,Stairs,33.67,33,98.0,0.7606,neutral
Ambuluwawa Tower,Mountain,26.53,26,98.0,0.7869,positive
Ambuluwawa Tower,Public transport access,22.45,22,98.0,0.8055,neutral
Ambuluwawa Tower,Crowdedness,12.24,12,98.0,0.8167,negative
Ambuluwawa Tower,Safety,12.24,12,98.0,0.84,negative
Ambuluwawa Tower,Ticket price,12.24,12,98.0,0.8067,positive
Ambuluwawa Tower,Temple,10.2,10,98.0,0.776,neutral
Ancient City of Polonnaruwa,Ancient ruins,53.8,269,500.0,0.7886,positive
Ancient City of Polonnaruwa,Local guide,36.2,181,500.0,0.7618,positive
Ancient City of Polonnaruwa,Museum,28.2,141,500.0,0.7776,neutral
Ancient City of Polonnaruwa,Temple,28.2,141,500.0,0.7777,neutral
Ancient City of Polonnaruwa,Ticket price,22.0,110,500.0,0.7835,neutral
Ancient City of Polonnaruwa,Weather condition,20.6,103,500.0,0.7447,negative
Ancient City of Polonnaruwa,Heritage site,16.0,80,500.0,0.8023,neutral
Ancient City of Polonnaruwa,Public transport access,15.4,77,500.0,0.794,neutral
Ancient City of Polonnaruwa,Sculptures,14.4,72,500.0,0.7861,positive
Ancient City of Polonnaruwa,Buddha statue,13.2,66,500.0,0.7942,positive
Ancient City of Polonnaruwa,Value for money,10.4,52,500.0,0.8569,negative
Angurukaramulla Temple,Temple,83.33,150,180.0,0.7996,positive
Angurukaramulla Temple,Sculptures,33.33,60,180.0,0.7933,positive
Angurukaramulla Temple,Buddha statue,27.22,49,180.0,0.7955,positive
Angurukaramulla Temple,Paintings,22.22,40,180.0,0.7825,positive
Angurukaramulla Temple,Peacefulness,15.0,27,180.0,0.803,positive
Angurukaramulla Temple,Public transport access,15.0,27,180.0,0.7778,neutral
Angurukaramulla Temple,Local guide,13.89,25,180.0,0.758,positive
Arugam Bay,Beach,69.85,234,335.0,0.8044,positive
Arugam Bay,Waves,48.66,163,335.0,0.7467,positive
Arugam Bay,Food quality,29.25,98,335.0,0.7488,positive
Arugam Bay,Restaurants,26.27,88,335.0,0.7957,positive
Arugam Bay,Accommodation,25.97,87,335.0,0.789,positive
Arugam Bay,Cleanliness,15.82,53,335.0,0.8785,positive
Arugam Bay,Crowdedness,15.82,53,335.0,0.8411,negative
Arugam Bay,Ticket price,15.82,53,335.0,0.7947,positive
Arugam Bay,Value for money,15.82,53,335.0,0.8626,negative
Arugam Bay,Public transport access,15.52,52,335.0,0.7965,neutral
Arugam Bay,Service quality,12.84,43,335.0,0.8047,positive
Arugam Bay,Sea,12.54,42,335.0,0.7438,positive
Arugam Bay,Peacefulness,11.04,37,335.0,0.8054,positive
Arugam Bay,Shops,11.04,37,335.0,0.7392,positive
Bahiravokanda Vihara Buddha Statue,Scenic view,74.4,372,500.0,0.8017,positive
Bahiravokanda Vihara Buddha Statue,Buddha statue,50.8,254,500.0,0.8031,positive
Bahiravokanda Vihara Buddha Statue,Sculptures,50.4,252,500.0,0.7962,positive
Bahiravokanda Vihara Buddha Statue,Temple,32.2,161,500.0,0.7906,positive
Bahiravokanda Vihara Buddha Statue,Mountain,29.6,148,500.0,0.728,neutral
Bahiravokanda Vihara Buddha Statue,Public transport access,22.4,112,500.0,0.7971,neutral
Bahiravokanda Vihara Buddha Statue,Ticket price,19.0,95,500.0,0.7384,neutral
Bahiravokanda Vihara Buddha Statue,Stairs,17.6,88,500.0,0.7789,neutral
Bahiravokanda Vihara Buddha Statue,Entrance fee,15.4,77,500.0,0.8192,neutral
Bahiravokanda Vihara Buddha Statue,Peacefulness,15.0,75,500.0,0.8176,positive
Baker's Falls,Waterfall,82.4,103,125.0,0.7981,positive
Baker's Falls,Trail,26.4,33,125.0,0.7545,neutral
Baker's Falls,Scenic view,21.6,27,125.0,0.7478,neutral
