review_id,place_name,rating,title,body,date,reviewer,reviewer_location,type_of_traveler,contributions,page_url
R000029,Angurukaramulla Temple,5,big shot,I think this is very famous stature but local don't care about it.for foreigners i thinks this is famous .,"November 6, 2018",Meander43113244557,,,7,https://www.tripadvisor.com/Attraction_Review-g297897-d4591029-Reviews-or20-Angurukaramulla_Temple-Negombo_Western_Province.html
R000067,Angurukaramulla Temple,2,Don't know if I will visit it again,You get fleeced by the compulsory donation you are forced to make. The guy didn't even give me a receipt,"August 15, 2017",Gingu Koshy George,,Couples,10,https://www.tripadvisor.com/Attraction_Review-g297897-d4591029-Reviews-or60-Angurukaramulla_Temple-Negombo_Western_Province.html
R000120,Angurukaramulla Temple,4,Worth a visit,Interesting to visit whilst in Negombo. Glad I read other visitors' reviews - the guest book has definitely been altered slightly with regards to donations as I doubt everyone the last few days had donated 4000SLR! Worth a visit if you're nearby.,"January 22, 2016",Charlotte W,"Hamilton, New Zealand",Couples,46,https://www.tripadvisor.com/Attraction_Review-g297897-d4591029-Reviews-or110-Angurukaramulla_Temple-Negombo_Western_Province.html
R000140,Angurukaramulla Temple,4,One of many things worth seeing,Well worth a visit when out and about in Negombo! Many places worth seeing are close together and easy to find with a local!,"August 16, 2015",chris_wort,,,7,https://www.tripadvisor.com/Attraction_Review-g297897-d4591029-Reviews-or130-Angurukaramulla_Temple-Negombo_Western_Province.html
R000148,Angurukaramulla Temple,4,Interesting,Nice if you haven't seen one before but as we lived in Ja Ela about 1 hrs drive away for 4 years and used Negombo as our bold hole most weekends we saw many throughout Sri Lanka.,"July 6, 2015",Lynda C,"Clarkston, United Kingdom",Friends,109,https://www.tripadvisor.com/Attraction_Review-g297897-d4591029-Reviews-or140-Angurukaramulla_Temple-Negombo_Western_Province.html
R000204,Beddegana Wetland Park,4,Now they have banned taking Cameras in,"First I need to tell that this is a good concept, mainly so close to Colombo. In early September I went here for the first time and I was really exited about the place. Then towards end of the month I went here for the second time. Then I got to know that they have banned taking cameras in to the park. Security at the entrance was friendly and polite. They were telling me that lot of people turn back on that they due to this restriction. Again I call them late last week and they were telling that only Camera phones and may be small cameras can be allowed to take in. If you need to use a DSLR or any other ""big Camera"" permission should be taken from their head office (which must be close during the weekends. I'm trying to understand what is going on. To me this is a crazy decision.","October 1, 2018",RanjanaPerera,"Colombo, Sri Lanka",Solo,328,https://www.tripadvisor.com/Attraction_Review-g665217-d11747363-Reviews-or20-Beddegana_Wetland_Park-Sri_Jayawardenepura_Western_Province.html
R000244,Colombo Lotus Tower,3,Good and Bad experience,"find the exit. We requested the exit from the guest relations hostess.(Muslim lady in blue suit.) She directed me to my destination. The first time, I didn't hear the way. When I asked a second time, her body language was quite harsh. The facial expressions were pretty awful.","June 29, 2025",Oushika M,,,1,https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-or20-Colombo_Lotus_Tower-Colombo_Western_Province.html
R000277,Colombo Lotus Tower,5,Colombo lotus tower,"Lotus tower also referred to as colombo lotus tower,is a 351.5 M tall tower,located in colombo,Sri Lanka.its has been a symbolic landmark of srilanka.","November 8, 2024",Dream Holiday Destination Travels 🇱🇰,"Negombo, Sri Lanka",Business,936,https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-or50-Colombo_Lotus_Tower-Colombo_Western_Province.html
R000279,Colombo Lotus Tower,4,A must do in Colombo,"Not the best tower in the world but for Sri Lanka, I enjoyed it being up in the viewing platform looking over Colombo. As for the videos in the theatres, though childlike, I enjoyed them and learnt some. Loved it all. Would have liked to go up to the dining room for a look see but no, you need to book a table to be able to go up.","October 29, 2024",Ruth H,,Couples,1034,https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-or50-Colombo_Lotus_Tower-Colombo_Western_Province.html
R000300,Colombo National Museum,5,The most amazing holiday in Sri Lanka,"Great place to visit, really interesting exhibitions and history.","February 20, 2026",Lisa,"Ryde, United Kingdom",Couples,70,https://www.tripadvisor.com/Attraction_Review-g293962-d447450-Reviews-Colombo_National_Museum-Colombo_Western_Province.html
