poi_name,category,latitude,longitude,full_address,city,district,province
Aberdeen Falls,Waterfall,6.94833,80.50194,,,,
Abhayagiri Dagaba,Religious Site,8.3711,80.3951,,,,
Ambewela Farms,Farm / Factory,6.9037507,80.7957375,"Ambewela Farm, Nuwara Eliya, Nuwara Eliya District, Central Province, 90364, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Ambuluwawa Tower,Landmark / Tower,7.1615272,80.5473577,"Ambuluwawa Tower, Ambuluwaawa Road, Rathmalkaduwa, Kandy District, Central Province, 20500, Sri Lanka",Rathmalkaduwa,Kandy District,Central Province
Ancient City of Polonnaruwa,Heritage Site,7.9403,81.0033,,,,
Angurukaramulla Temple,Religious Site,7.2096609,79.8537614,"Angurukaramulla Temple, Temple Road, Periyamulla, Negombo, Gampaha District, Western Province, 11500, Sri Lanka",Negombo,Gampaha District,Western Province
Arugam Bay,Beach,6.8466228,81.8305531,"Arugam Bay, Ampara District, Eastern Province, 32506, Sri Lanka",Arugam Bay,Ampara District,Eastern Province
Bahiravokanda Vihara Buddha Statue,Religious Site,7.2936,80.63,,,,
Baker's Falls,Waterfall,6.7925595,80.789623,"Baker's Falls, Nuwara Eliya District, Central Province, Sri Lanka",,Nuwara Eliya District,Central Province
Bambarakanda Falls,Waterfall,6.7742969,80.8311072,"Upper Bambarakanda Falls, West Haputale, Badulla District, Uva Province, Sri Lanka",West Haputale,Badulla District,Uva Province
Batticaloa Fort,Fort / Historic Site,7.7117713,81.7019475,"Batticaloa Fort, Esplanade Lake Road, Puliyanthivu East, Manmunai North DS Division, Batticaloa District, Eastern Province, 30100, Sri Lanka",,Manmunai North DS Division,Eastern Province
Beddegana Wetland Park,Wetland / Nature Park,6.8904487,79.9090936,"Beddagana Wetland park, Pitakotte, Sri Jayewardenepura Kotte, Colombo District, Western Province, Sri Lanka",Sri Jayewardenepura Kotte,Colombo District,Western Province
Bentota Beach,Beach,6.4290746,79.9943317,"Bentota, Galle District, Southern Province, Sri Lanka",Bentota,Galle District,Southern Province
Bogoda Wooden Bridge,Heritage Site,7.0079106,80.9963053,"Bogoda Wooden Bridge, Bogoda Road, Bogoda, Jangulla, Badulla District, Uva Province, 90064, Sri Lanka",Jangulla,Badulla District,Uva Province
Bopath Ella (Bopath Falls),Waterfall,6.8017623,80.3692116,"Bopath Ella, Higgashena-Devipahala Road, Keeragala, Ratnapura District, Sabaragamuwa Province, 70550, Sri Lanka",Keeragala,Ratnapura District,Sabaragamuwa Province
Brief Garden - Bevis Bawa,Garden / Park,6.4571463,80.0375895,"Brief Garden, Beruwala DS Division, Kalutara District, Western Province, 12090, Sri Lanka",,Beruwala DS Division,Western Province
Buduruwagala Temple,Religious Site,6.6848766,81.0793976,"Buduruwagala Rajamaha Viharaya, Buduruwagala Road, Nikapitiya, Monaragala District, Uva Province, Sri Lanka",Nikapitiya,Monaragala District,Uva Province
Casuarina Beach,Beach,9.7631004,79.8876687,"Casuarina Beach, Karainagar, Jaffna District, Northern Province, Sri Lanka",Karainagar,Jaffna District,Northern Province
Ceylon Tea Museum,Museum,7.2686376,80.6326564,"Ceylon Tea Museum, Hanthana Road, Deiyannewela, Suduhumpola, Hanthana, Kandy, Kandy District, Central Province, 85129, Sri Lanka",Kandy,Kandy District,Central Province
Coconut Tree Hill,Viewpoint / Hiking,5.9392522,80.4682756,"Coconut Tree Hill, Matara Road, Thalaramba, Matara District, Southern Province, 71380, Sri Lanka",Thalaramba,Matara District,Southern Province
Colombo Lotus Tower,Landmark / Tower,6.9270163,79.8583152,"Colombo Lotus Tower, D. R. Wijewardene Mawatha, Suduwella, Slave Island, Colombo, Colombo District, Western Province, 00200, Sri Lanka",Colombo,Colombo District,Western Province
Colombo National Museum,Museum,6.9104168,79.8609194,"National Museum of Colombo, Sir Marcus Fernando Mawatha, Town Hall, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, 00300, Sri Lanka",Colombo,Colombo District,Western Province
Dagoba of Thuparama,Religious Site,8.3556,80.3961,,,,
Dambulla Cave Temple,Religious Site,7.8566286,80.6484958,"Dambulla Cave Temple, Kandy-Jaffna Road, Kapuwaththa, Moragollewa, Matale District, Central Province, 21100, Sri Lanka",Moragollewa,Matale District,Central Province
Dehiwala Zoo - Sri Lanka,Zoo / Wildlife Attraction,6.8571738,79.8742032,"National Zoological Gardens, Anagarika Dharmapala Mawatha (Allen Avenue), Pallidora, Dehiwala, Colombo District, Western Province, 10350, Sri Lanka",Dehiwala,Colombo District,Western Province
Demodara Loop,Engineering Landmark,6.9025732,81.0640232,"Demodara Railway Loop View Point, Springvalley Road, Demodara, Badulla District, Uva Province, 90122, Sri Lanka",Demodara,Badulla District,Uva Province
Devon Falls,Waterfall,6.9515033,80.6301127,"Devon Falls, Nawalapitiya-Dimbula Road, Mount Vernon, Dimbula, Nuwara Eliya District, Central Province, 22000, Sri Lanka",Dimbula,Nuwara Eliya District,Central Province
Diyaluma Falls,Waterfall,6.733071,81.031448,"Diyaluma Falls, Diyaluma, Badulla District, Uva Province, 90190, Sri Lanka",Diyaluma,Badulla District,Uva Province
Diyatha Uyana,Garden / Park,6.8940896,79.912699,"Sri Lanka Nippon Avenue, Diyatha Uyana Jct., Ethulkotte, Ethul Kotte, Sri Jayewardenepura Kotte, Colombo District, Western Province, 23010, Sri Lanka",Sri Jayewardenepura Kotte,Colombo District,Western Province
Dondra Head Lighthouse,Lighthouse,5.9213,80.5941,,,,
Dunhinda Falls,Waterfall,7.0169435,81.063492,"Dunhinda Falls, Dunhinda, Badulla, Badulla District, Uva Province, 90000, Sri Lanka",Badulla,Badulla District,Uva Province
Dutch Hospital Shopping Precinct,Shopping / Market,6.0268677,80.2194762,"Dutch Hospital Shopping Precinct Galle, රෝහල වීදිය, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka",Galle,Galle District,Southern Province
Elephant Pass,Landmark / Historic Site,9.5248985,80.4055256,"Elephant Pass, Kilinochchi District, Northern Province, Sri Lanka",Elephant Pass,Kilinochchi District,Northern Province
Elephant Transit Home (ETH),Wildlife Conservation,6.4268769,80.8171104,"Elephant Transit Home, C.P De Silva Road, Udawalawe, Ratnapura District, Sabaragamuwa Province, 70190, Sri Lanka",Udawalawe,Ratnapura District,Sabaragamuwa Province
Ella Rock,Viewpoint / Hiking,6.8550355,81.0523841,"Ella Rock, Ella, Badulla District, Uva Province, 90900, Sri Lanka",Ella,Badulla District,Uva Province
Embekka Devalaya,Religious Site,7.2179,80.5677,,,,
Fort Frederick,Fort / Historic Site,8.5793044,81.2440475,"Fort Frederick, Fort Fredrick Road, Trincomalee, Trincomalee District, Eastern Province, 32100, Sri Lanka",Trincomalee,Trincomalee District,Eastern Province
Gal Oya National Park,National Park / Wildlife Reserve,8.1341492,80.8775612,"Kaudulla National Park Eingang, Minneriya - Gal Oya Road, Galoya, Polonnaruwa District, North Central Province, Sri Lanka",Galoya,Polonnaruwa District,North Central Province
Gal Vihara,Religious Site,7.0109498,79.9377925,"Gal Edanda Rajamaha Viharaya, Galedanda Rajamaha Vihara Para, Ihala Karagahamuna, Gampaha District, Western Province, 11850, Sri Lanka",Ihala Karagahamuna,Gampaha District,Western Province
Galle Dutch Fort,Fort / Historic Site,6.0268677,80.2194762,"Dutch Hospital Shopping Precinct Galle, රෝහල වීදිය, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka",Galle,Galle District,Southern Province
Galle Face Green,Urban Park / Promenade,6.9249607,79.8444586,"Galle Face Green, Kompannaweediya, Slave Island, Colombo, Colombo District, Western Province, Sri Lanka",Colombo,Colombo District,Western Province
Galle Face Hotel,Hotel,6.9201212,79.8461345,"Galle Face Hotel, 2, Galle Road, Kollupitiya, Slave Island, Colombo, Colombo District, Western Province, 00300, Sri Lanka",Colombo,Colombo District,Western Province
Galle Fort Lighthouse,Lighthouse,6.0245483,80.2193733,"Galle Fort Lighthouse, Rampart Street, Talbot Town, Galle, Galle District, Southern Province, 80000, Sri Lanka",Galle,Galle District,Southern Province
Galway's Land National Park,National Park / Wildlife Reserve,6.9657876,80.7780162,"Galway's Land National Park, Mahinda Mawatha, Nuwara Eliya, Nuwara Eliya District, Central Province, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Gangaramaya Temple,Religious Site,6.9166446,79.8566559,"Gangaramaya Temple, 61, Sri Jinarathana Road, Weekanda, Slave Island, Colombo, Colombo District, Western Province, 00200, Sri Lanka",Colombo,Colombo District,Western Province
Gartmore Falls,Waterfall,6.7786554,80.5592226,"Upper Gartmore Falls, Nuwara Eliya District, Central Province, Sri Lanka",,Nuwara Eliya District,Central Province
Goyambokka Beach,Beach,6.0091444,80.7805432,"Goyambokka, Tangalle, Hambantota District, Southern Province, Sri Lanka",Tangalle,Hambantota District,Southern Province
Gregory Lake,Lake / River,6.9537634,80.7795416,"Gregory Lake, Abhayapura Road, Kalukele, Nuwara Eliya, Nuwara Eliya District, Central Province, 22200, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Hakgala Botanic Gardens,Garden / Park,6.9274,80.8201,,,,
Handunugoda Tea Estate,Farm / Factory,6.0136428,80.3641777,"Handunugoda Tea Estate, Kathaluwa-Thiththagalla-Dikkumbura Road, Kathaluwa, Galle District, Southern Province, 80560, Sri Lanka",Kathaluwa,Galle District,Southern Province
Henerathgoda Botanical Garden,Garden / Park,7.1,79.9861,,,,
Hikkaduwa Beach,Beach,6.1346944,80.0997142,"Hikkaduwa Beach, Hikkaduwa, Galle District, Southern Province, Sri Lanka",Hikkaduwa,Galle District,Southern Province
Hiriketiya Beach,Beach,5.9627833,80.707008,"Beach House, Hiriketiya, Dikwella, Matara District, Southern Province, 81200, Sri Lanka",Dikwella,Matara District,Southern Province
Horton Plains National Park,National Park / Wildlife Reserve,6.8067144,80.8021297,"Horton Plains National Park, Nuwara Eliya, Nuwara Eliya District, Central Province, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Hummanaya Blow Hole,Natural Landmark,5.9776154,80.7387267,"Hummanaya Blow Hole, Kudawella, Hambantota District, Southern Province, 81200, Sri Lanka",Kudawella,Hambantota District,Southern Province
Hurulu Eco Park,National Park / Wildlife Reserve,8.0581698,80.7701177,"Entrance Hurulu Eco Park, Kandy Road, Habarana, Anuradhapura District, North Central Province, 50150, Sri Lanka",Habarana,Anuradhapura District,North Central Province
Independence Memorial Hall,Memorial / Landmark,6.9040669,79.8676301,"Independence Memorial Hall, Independence Square, Town Hall, Cinnamon Gardens, Colombo, Colombo District, Western Province, 00700, Sri Lanka",Colombo,Colombo District,Western Province
Isurumuniya Temple,Religious Site,8.3346,80.3904,,,,
Jaffna Fort,Fort / Historic Site,9.6623181,80.008169,"Jaffna Fort, Jaffna-Ponnalai-Point Pedro Road, Jaffna, Jaffna District, Northern Province, Sri Lanka",Jaffna,Jaffna District,Northern Province
Jaffna Public Library,Cultural Landmark,9.6621715,80.0118084,"Jaffna Public Library, Jaffna - Kankesanthurai Road, Government, Jaffna, Jaffna District, Northern Province, Sri Lanka",Jaffna,Jaffna District,Northern Province
Jami Ul-Alfar Mosque,Religious Site,6.9384729,79.8518591,"Jami Ul Alfar Mosque, 2nd Cross Street, L B Gate, Fort, St. Bastian, Colombo, Colombo District, Western Province, 01100, Sri Lanka",Colombo,Colombo District,Western Province
Japanese Peace Pagoda - Rumassala,Religious Site,6.0158561,80.2379092,"Japanese Peace Pagoda, Unawatuna, Rumassala, Galle District, Southern Province, Sri Lanka",Rumassala,Galle District,Southern Province
Jaya Sri Maha Bodhi,Religious Site,8.3447103,80.3972255,"Jaya Sri Maha Bodhi, Mihindu Mawatha, Thisawewa, Anuradhapura, Anuradhapura District, North Central Province, 50000, Sri Lanka",Anuradhapura,Anuradhapura District,North Central Province
Jungle Beach,Beach,5.958594,80.4130866,"Jungle Beach, Kumbalgama, Matara District, Southern Province, Sri Lanka",Kumbalgama,Matara District,Southern Province
Kabalana Beach,Beach,5.9770597,80.3526132,"Bojangles Beach House, Matara Road, Kathaluwa, Galle District, Southern Province, 80650, Sri Lanka",Kathaluwa,Galle District,Southern Province
Kalametiya Eco Bird Watching,Wildlife / Bird Watching,6.0895,80.9369,,,,
Kalutara Bodhiya,Religious Site,6.5869828,79.9600819,"Kalutara Bodhiya, Galle Road, Kalutara, Kalutara DS Division, Kalutara District, Western Province, 12000, Sri Lanka",Kalutara,Kalutara DS Division,Western Province
Kande Viharaya Temple,Religious Site,6.4490583,80.000279,"Kande Viharaya Temple, Canal Road, Dharga Town, Beruwala DS Division, Kalutara District, Western Province, 12090, Sri Lanka",Dharga Town,Beruwala DS Division,Western Province
Kandy Lake,Lake / River,7.2902225,80.6432334,"Kandy Lake, Talwatta, Kandy, Kandy District, Central Province, Sri Lanka",Kandy,Kandy District,Central Province
Kandy View Point,Viewpoint / Hiking,7.3941332,80.8097817,"View point, Dawatagala - Knuckles 5 Peaks Nature Trail, Kandy District, Central Province, Sri Lanka",,Kandy District,Central Province
Kanniya Hot Springs,Hot Springs,8.6184026,81.1671242,"Kanniya, Trincomalee District, Eastern Province, 31000, Sri Lanka",Kanniya,Trincomalee District,Eastern Province
Kataragama Temple,Religious Site,6.3872525,81.3359797,"Thakshina Kailaya Sivan Temple, Old Wedihitikanda Road, Kataragama, Monaragala District, Uva Province, 91400, Sri Lanka",Kataragama,Monaragala District,Uva Province
Kaudulla National Park,National Park / Wildlife Reserve,8.1758109,80.9145547,"Kaudulla National Park, Galoya, Polonnaruwa District, North Central Province, Sri Lanka",Galoya,Polonnaruwa District,North Central Province
Keerimalai Hot springs,Hot Springs,9.8118894,80.0098736,"Keerimalai, Jaffna District, Northern Province, Sri Lanka",Keerimalai,Jaffna District,Northern Province
Kelaniya Raja Maha Vihara,Religious Site,6.9515273,79.918674,"Kelaniya Raja Maha Viharaya, Kelaniya, Gampaha District, Western Province, Sri Lanka",Kelaniya,Gampaha District,Western Province
Kiri Vehera,Religious Site,7.9632705,81.0036211,"Kiri Vehera, Polonnaruwa - Hingurakgoda Road, 26th Mile Post, Polonnaruwa, Polonnaruwa District, North Central Province, 51000, Sri Lanka",Polonnaruwa,Polonnaruwa District,North Central Province
Kirinda Viharaya,Religious Site,7.1851847,80.58383,"Kirinda Viharaya (Old), Weligalla-Ganhata Rd, Gamhatha, Kandy District, Central Province, 20526, Sri Lanka",Gamhatha,Hambantota District,Southern Province
Knuckles Mountain Range,Viewpoint / Hiking,7.45,80.8,,,,
Koggala Lake,Lake / River,6.0023673,80.3319389,"Koggala Lake, Habaraduwa, Galle District, Southern Province, Sri Lanka",Habaraduwa,Galle District,Southern Province
Kosgoda Sea Turtle Conservation Project,Wildlife Conservation,6.354312,80.0182795,"Kosgoda Sea Turtle Conservation Project, Galle Road, Induruwa, Galle District, Southern Province, 80510, Sri Lanka",Induruwa,Galle District,Southern Province
Kumana National Park,National Park / Wildlife Reserve,6.6186785,81.6649958,"Kumana National Park, Ampara District, Eastern Province, Sri Lanka",,Ampara District,Eastern Province
Laxapana Falls,Waterfall,6.899106,80.5009038,"Laxapana Falls, Kiriwan Eliya, Nuwara Eliya District, Central Province, Sri Lanka",Kiriwan Eliya,Nuwara Eliya District,Central Province
Lipton’s Seat,Viewpoint / Hiking,6.7806643,81.0155075,"Lipton's seat, Lipton's Seat Road, Maousakelie, Bandara Eliya, Badulla District, Uva Province, 19160, Sri Lanka",Bandara Eliya,Badulla District,Uva Province
Little Adam's Peak View Point,Viewpoint / Hiking,6.86505,81.0630167,"Little Adam's Peak, Badulla District, Uva Province, 90900, Sri Lanka",,Badulla District,Uva Province
Lovamahapaya Brazen Palace,Heritage Site,8.341,80.3918,,,,
Lover's Leap Falls,Waterfall,6.9765669,80.7856893,"Lover's Leap, Hawaeliya, Nuwara Eliya, Nuwara Eliya District, Central Province, 22200, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Lunugamvehera National Park,National Park / Wildlife Reserve,6.4807205,81.2030468,"Lunugamwehera National Park, Monaragala District, Uva Province, Sri Lanka",,Monaragala District,Uva Province
Madu River Safari by Buddhi,Lake / River,6.2736394,80.0382751,"Madu River Safari No 07, Galle Road, Ahungalla, Galle District, Southern Province, 80562, Sri Lanka",Ahungalla,Galle District,Southern Province
Maduru Oya National Park,National Park / Wildlife Reserve,7.537625,81.1194996,"Maduru Oya National Park, Badulla District, Uva Province, Sri Lanka",,Badulla District,Uva Province
Maha Saman Dewalaya,Religious Site,7.4057664,80.6075322,"Alawathugoda Maha Saman Dewalaya, Saman Dewalaya Road, Alawatugoda, Walahena, Kandy District, Central Province, 21300, Sri Lanka",Walahena,Ratnapura District,Sabaragamuwa Province
Maligawila Buddha Statue,Religious Site,6.7283447,81.3524319,"Maligawila Buddha Statue, Kumbukkana - Okkampitiya - Maligawila Road, Maligawila, Monaragala District, Uva Province, Sri Lanka",Maligawila,Monaragala District,Uva Province
Marble Beach,Beach,8.5122958,81.21047,"Marble Beach, Trincomalee, Trincomalee District, Eastern Province, Sri Lanka",Trincomalee,Trincomalee District,Eastern Province
Matara Paravi Duwa Temple,Religious Site,5.9485,80.5353,,,,
Mihintale,Religious Site,8.3583002,80.5121579,"Mihintale, Anuradhapura District, North Central Province, 40150, Sri Lanka",Mihintale,Anuradhapura District,North Central Province
Minneriya National Park,National Park / Wildlife Reserve,8.0161446,80.850139,"Minneriya National Park, Katukeliyawa, Polonnaruwa District, North Central Province, Sri Lanka",Katukeliyawa,Polonnaruwa District,North Central Province
Mirissa Beach,Beach,5.9431556,80.4618001,"Mirissa Beach, Mirissa, Matara District, Southern Province, Sri Lanka",Mirissa,Matara District,Southern Province
Moon Plains,Viewpoint / Hiking,6.9504901,80.8067974,"Moon Plains, Sandatenna, Nuwara Eliya, Nuwara Eliya District, Central Province, Sri Lanka",Nuwara Eliya,Nuwara Eliya District,Central Province
Moonstone or Sandakada pahana,Heritage Site,8.3122,80.4131,,,,
Mount Lavinia Beach,Beach,6.8362022,79.8649564,"Palm Beach Hotel, Hotel Road, Ratmalana North, Pallidora, Dehiwala, Colombo District, Western Province, 10370, Sri Lanka",Dehiwala,Colombo District,Western Province
Mulgirigala Raja Maha Vihara,Religious Site,6.123,80.7364,,,,
Muthurajawela Marsh,Wetland / Nature Park,7.12,79.88,,,,
Nagadipa Purana Vihara,Religious Site,9.6128,79.774,,,,
Nalanda Gedige,Heritage Site,7.6697429,80.645926,"Nalanda Gedige, Nalanda Gedige Road, Alugolla, Nalanda, Matale District, Central Province, Sri Lanka",Nalanda,Matale District,Central Province
