place_name,facility,review_percentage,review_count,total_reviews,avg_confidence,dominant_sentiment
Aberdeen Falls,Accommodation,25.0,8,32.0,0.7612,neutral
Aberdeen Falls,Steps or stairs,18.75,6,32.0,0.7825,neutral
Ambuluwawa Tower,Steps or stairs,38.78,38,98.0,0.7796,neutral
Ambuluwawa Tower,Tuk tuk service,23.47,23,98.0,0.7783,neutral
Ambuluwawa Tower,Entrance fee,10.2,10,98.0,0.7917,neutral
Ancient City of Polonnaruwa,Ticket or receipt,15.8,79,500.0,0.8254,neutral
Ancient City of Polonnaruwa,Entrance fee,15.6,78,500.0,0.7816,neutral
Ancient City of Polonnaruwa,Tuk tuk service,13.6,68,500.0,0.7709,neutral
Ancient City of Polonnaruwa,Guide service,12.8,64,500.0,0.7872,neutral
Angurukaramulla Temple,Donation box,24.44,44,180.0,0.7985,neutral
Angurukaramulla Temple,Entrance fee,15.0,27,180.0,0.8077,negative
Angurukaramulla Temple,Tuk tuk service,15.0,27,180.0,0.7687,neutral
Angurukaramulla Temple,Guide service,11.11,20,180.0,0.7838,neutral
Arugam Bay,Accommodation,31.04,104,335.0,0.7852,neutral
Arugam Bay,Restaurant,28.06,94,335.0,0.7916,neutral
Arugam Bay,Tuk tuk service,13.43,45,335.0,0.796,positive
Bahiravokanda Vihara Buddha Statue,Entrance fee,22.8,114,500.0,0.7774,neutral
Bahiravokanda Vihara Buddha Statue,Tuk tuk service,22.2,111,500.0,0.7742,neutral
Bahiravokanda Vihara Buddha Statue,Steps or stairs,20.6,103,500.0,0.7869,neutral
Bahiravokanda Vihara Buddha Statue,Donation box,12.6,63,500.0,0.7869,neutral
Baker's Falls,Steps or stairs,12.8,16,125.0,0.8212,negative
Batticaloa Fort,Guide service,16.1,19,118.0,0.781,neutral
Batticaloa Fort,Accessibility ramp,11.86,14,118.0,0.8248,neutral
Beddegana Wetland Park,Pathway,20.0,8,40.0,0.8056,positive
Beddegana Wetland Park,Ticket or receipt,12.5,5,40.0,0.81,neutral
Bentota Beach,Accommodation,28.33,170,600.0,0.7853,neutral
Bentota Beach,Restaurant,10.67,64,600.0,0.7974,neutral
Bogoda Wooden Bridge,Bridge,90.24,37,41.0,0.7622,neutral
Bogoda Wooden Bridge,Road access,31.71,13,41.0,0.8053,negative
Bogoda Wooden Bridge,Accommodation,12.2,5,41.0,0.754,neutral
Bogoda Wooden Bridge,Steps or stairs,12.2,5,41.0,0.7786,neutral
Bopath Ella (Bopath Falls),Accommodation,11.9,5,42.0,0.7783,neutral
Bopath Ella (Bopath Falls),Ticket or receipt,11.9,5,42.0,0.81,neutral
Brief Garden - Bevis Bawa,Entrance fee,23.31,93,399.0,0.7752,neutral
Brief Garden - Bevis Bawa,Tuk tuk service,15.29,61,399.0,0.7712,neutral
Brief Garden - Bevis Bawa,Guide service,13.03,52,399.0,0.791,neutral
Buduruwagala Temple,Entrance fee,12.82,15,117.0,0.7433,neutral
Casuarina Beach,Entrance fee,15.31,30,196.0,0.7671,neutral
Casuarina Beach,Toilet,12.76,25,196.0,0.8357,neutral
Casuarina Beach,Changing room,12.24,24,196.0,0.8363,neutral
Ceylon Tea Museum,Guide service,20.29,99,488.0,0.8077,positive
Ceylon Tea Museum,Entrance fee,14.14,69,488.0,0.7945,neutral
Ceylon Tea Museum,Shop,12.5,61,488.0,0.7929,neutral
Ceylon Tea Museum,Tuk tuk service,10.25,50,488.0,0.7893,neutral
