id,question,expected_intent,detected_intent,intent_confidence,elapsed_seconds,faithfulness,answer_relevancy,context_precision,context_recall,user_input,retrieved_contexts,response,reference
Q_ACT_01,Where are the best places for swimming in Sri Lanka?,activity_query,activity_query,1.0,8.96,0.9230769230769232,0.9897791866463536,0.6783803939204982,1.0,Where are the best places for swimming in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Polhena Beach is a beach in Matara District for Swimming, featuring Safety, Peacefulness, and Family friendliness.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Aberdeen Falls is a waterfall for Swimming, featuring Waterfall, Road access, and Trail.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Goyambokka Beach is a beach in Hambantota District for Swimming, featuring Peacefulness, Family friendliness, and Ticket price.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Unawatuna Beach is a beach in Galle District for Swimming, featuring Safety, Peacefulness, and Family friendliness.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Diyaluma Falls is a waterfall in Badulla District for Swimming, featuring Waterfall, Road access, and Trail.', 'Knowledge Graph Fact Knowledge Graph Fact 6. Hiriketiya Beach is a beach in Matara District for Swimming, featuring Peacefulness, Family friendliness, and Ticket price.', 'Knowledge Graph Fact Knowledge Graph Fact 7. Nilaveli Beach is a beach in Trincomalee District for Swimming, featuring Peacefulness, Cleanliness, and Crowdedness.', 'Knowledge Graph Fact Knowledge Graph Fact 8. Casuarina Beach is a beach in Jaffna District for Swimming, featuring Safety, Peacefulness, and Family friendliness.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: positive sentiment, Swimming', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places for swimming in Sri Lanka are:

- **Polhena Beach** — Located in the Matara District, this beach is noted for its safety, peacefulness, and family friendliness.
- **Aberdeen Falls** — This waterfall destination provides swimming opportunities and is accessible via a trail and road.
- **Goyambokka Beach** — Situated in the Hambantota District, this beach offers a peaceful and family-friendly environment, and there is a ticket price required for entry.
- **Unawatuna Beach** — Found in the Galle District, this beach is characterized by its safety, peacefulness, and family friendliness.
- **Diyaluma Falls** — A waterfall in the Badulla District suitable for swimming, which is reachable by road and a trail.
- **Hiriketiya Beach** — Located in the Matara District, this beach features a peaceful and family-friendly atmosphere, with a ticket price required for entry.
- **Nilaveli Beach** — A beach in the Trincomalee District known for its peacefulness, cleanliness, and level of crowdedness.
- **Casuarina Beach** — A beach in the Jaffna District recognized for its safety, peacefulness, and family friendliness.","The best places for swimming in Sri Lanka include Polhena Beach, Goyambokka Beach, Unawatuna Beach, Diyaluma Falls, Hiriketiya Beach, Nilaveli Beach, and Casuarina Beach."
Q_ACT_02,Which destinations are good for bird watching in Sri Lanka?,activity_query,activity_query,1.0,7.04,0.8,0.933905195530328,1.0,1.0,Which destinations are good for bird watching in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Kalametiya Eco Bird Watching is a location for Bird watching, featuring Rock formation, Scenic view, and Peacefulness.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Beddegana Wetland Park is located in Colombo District for Bird watching, featuring Trail, Scenic view, and Peacefulness.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Kumana National Park is located in Ampara District for Bird watching, featuring Road access, Scenic view, and Peacefulness.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Bird watching', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","Here are the top bird watching destinations in Sri Lanka:

- **Kalametiya Eco Bird Watching** — This location is ideal for bird watching and features a rock formation, scenic views, and peacefulness.

- **Beddegana Wetland Park** — Located in the Colombo District, this wetland park offers bird watching opportunities along a trail, complemented by scenic views and a sense of peacefulness.

- **Kumana National Park** — Situated in the Ampara District, this national park provides bird watching access via roads and is characterized by its scenic views and peacefulness.","Good destinations for bird watching in Sri Lanka include Kalametiya Eco Bird Watching, Beddegana Wetland Park, and Kumana National Park."
Q_ACT_03,What are the best spots for hiking in Sri Lanka?,activity_query,activity_query,1.0,8.22,1.0,0.9580983350131014,0.9090946796321637,0.442774397300195,What are the best spots for hiking in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Ella Rock is located in Badulla District for Hiking, featuring Waterfall, Trail, and Rock formation.', ""Knowledge Graph Fact Knowledge Graph Fact 2. Little Adam's Peak View Point is located in Badulla District for Hiking, featuring Trail, Rock formation, and Scenic view."", 'Knowledge Graph Fact Knowledge Graph Fact 3. Horton Plains National Park is located in Nuwara Eliya District for Hiking, featuring Waterfall, Trail, and Scenic view.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Knuckles Mountain Range is a location for Hiking, featuring Waterfall, Road access, and Trail.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Single Tree Hill is located in Nuwara Eliya District for Hiking, featuring Road access, Trail, and Scenic view.', 'Knowledge Graph Fact Knowledge Graph Fact 6. Knuckles Mountain Range is a location for Trekking, featuring Waterfall, Road access, and Trail.', 'Knowledge Graph Fact Knowledge Graph Fact 7. Pidurangala Rock is located in Matale District for Hiking, featuring Trail, Rock formation, and Scenic view.', 'Knowledge Graph Fact Knowledge Graph Fact 8. Aberdeen Falls is a location for Hiking, featuring Waterfall, Road access, and Trail.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Hiking', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places for hiking in Sri Lanka are:

- **Ella Rock** — Located in the Badulla District, this site features a trail, a waterfall, and a rock formation.
- **Little Adam's Peak View Point** — Situated in the Badulla District, this location offers a trail, a rock formation, and a scenic view.
- **Horton Plains National Park** — Found in the Nuwara Eliya District, this park provides a trail, a waterfall, and a scenic view.
- **Knuckles Mountain Range** — This area features a trail, a waterfall, and road access.
- **Single Tree Hill** — Located in the Nuwara Eliya District, this spot includes a trail, road access, and a scenic view.
- **Pidurangala Rock** — Situated in the Matale District, this site features a trail, a rock formation, and a scenic view.
- **Aberdeen Falls** — This location offers a trail, a waterfall, and road access.

### Trekking

- **Knuckles Mountain Range** — This area features a trail, a waterfall, and road access.","The best hiking spots in Sri Lanka include Ella Rock, Little Adam's Peak View Point, Horton Plains National Park, Knuckles Mountain Range, Single Tree Hill, Pidurangala Rock, Aberdeen Falls, Sinharaja Forest Reserve, Devon Falls, and Nine Arches Bridge."
Q_ACT_04,Which places are popular for exploring ancient ruins in Sri Lanka?,activity_query,activity_query,0.98,6.86,1.0,0.9797794873065212,1.0,0.19277439730019502,Which places are popular for exploring ancient ruins in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Ancient City of Polonnaruwa is a Heritage Site for Ruins exploration, featuring Temple, Weather condition, and Ancient ruins.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Ritigala Forest Monastery is located in Anuradhapura District for Ruins exploration, featuring Road access, Trail, and Ancient ruins.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Polonnaruwa Vatadage is located in Polonnaruwa District for Ruins exploration, featuring Temple, Weather condition, and Ancient ruins.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: popularity, historical significance', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The popular places for exploring ancient ruins in Sri Lanka are:

- **Ancient City of Polonnaruwa** — This heritage site features ancient ruins and a temple. When planning your visit, keep in mind that the weather condition can impact your exploration.
- **Ritigala Forest Monastery** — Located in the Anuradhapura District, this religious site offers a trail and road access to explore its ancient ruins.
- **Polonnaruwa Vatadage** — Situated in the Polonnaruwa District, this heritage site features ancient ruins and a temple. Be sure to consider the weather condition when planning your trip to this location.","Popular places for exploring ancient ruins in Sri Lanka include the Ancient City of Polonnaruwa, Ritigala Forest Monastery, Polonnaruwa Vatadage, and Yapahuwa Rock Fortress."
Q_ACT_05,Where can I visit famous Buddhist temples in Sri Lanka?,activity_query,activity_query,0.95,7.59,1.0,0.949649884316072,1.0,0.19277439730019502,Where can I visit famous Buddhist temples in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Nagadipa Purana Vihara is a Religious Site for a Temple visit, featuring Road access, Safety, and Temple.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Temple of the Sacred Tooth Relic is located in Kandy District for a Temple visit, featuring Temple, Buddha statue, and Peacefulness.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Sithulpawwa Rock Temple is a Religious Site for a Temple visit, featuring Road access, Rock formation, and Scenic view.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Kelaniya Raja Maha Vihara is located in Gampaha District for a Temple visit, featuring River, Temple, and Buddha statue.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Weherahena Buddhist Temple is a Religious Site for a Temple visit, featuring Scenic view, Temple, and Buddha statue.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: popularity, cultural significance', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The famous Buddhist temples you can visit in Sri Lanka are:

- **Temple of the Sacred Tooth Relic** — Located in the Kandy District, this temple offers a peaceful environment and features a Buddha statue.

- **Kelaniya Raja Maha Vihara** — Situated in the Gampaha District, this temple is located by a river and features a Buddha statue.

- **Nagadipa Purana Vihara** — This religious site is accessible by road and serves as a destination for temple visits, with safety noted as a feature.

- **Sithulpawwa Rock Temple** — This religious site features a rock formation and provides scenic views, with access available by road.

- **Weherahena Buddhist Temple** — This temple features a Buddha statue and offers scenic views.","Famous Buddhist temples and religious sites in Sri Lanka include Nagadipa Purana Vihara, the Temple of the Sacred Tooth Relic, Kelaniya Raja Maha Vihara, Gangaramaya Temple, Rankoth Vehera, Sithulpawwa Rock Temple, and Weherahena Buddhist Temple."
Q_ACT_06,Where can I experience a wildlife safari in Sri Lanka?,activity_query,activity_query,1.0,8.49,0.9333333333333332,0.940406113810648,0.9587375367706321,1.0,Where can I experience a wildlife safari in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Elephant Transit Home (ETH) is located in Ratnapura District for Safari, featuring Family friendliness, Wildlife, Ticket price, and Elephants, with facilities including Entrance fee.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Gal Oya National Park is located in Polonnaruwa District for Swimming, Safari, Boat safari, Boat ride, Elephant watching, Camping, and Jeep safari, featuring Road access, Scenic view, Peacefulness, Wildlife, Local guide, Birds, Lake, Elephants, Boat service, and Forest, with facilities including Boat service and Jeep service.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Hurulu Eco Park is located in Anuradhapura District for Safari and Elephant watching, featuring Road access, Trail, Scenic view, Weather condition, Family friendliness, Wildlife, Ticket price, Crowdedness, Local guide, Accommodation, Birds, and Elephants, with facilities including Accommodation and Entrance fee.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Kaudulla National Park is located in Polonnaruwa District for Safari, Elephant watching, and Jeep safari, featuring Road access, Wildlife, Ticket price, Crowdedness, Local guide, Birds, Lake, and Elephants.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Kumana National Park is located in Ampara District for Bird watching, Safari, and Camping, featuring Road access, Scenic view, Peacefulness, Wildlife, Ticket price, Crowdedness, Local guide, Birds, Elephants, Forest, and Leopards, with facilities including Entrance fee.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Wildlife, Safari', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places to experience a wildlife safari in Sri Lanka are:

- **Elephant Transit Home (ETH)** — offers safari experiences focused on elephants and is noted for being family-friendly, providing a great opportunity to see wildlife in the Ratnapura District.
- **Gal Oya National Park** — provides opportunities for both jeep safaris and boat safaris, allowing visitors to view elephants, birds, and the forest while enjoying scenic views, peacefulness, and the lake.
- **Hurulu Eco Park** — features safari activities centered on elephant watching, with local guides available to enhance the experience, as well as on-site accommodation options.
- **Kaudulla National Park** — hosts jeep safaris where visitors can observe elephants, birds, and the lake, often with the help of a local guide.
- **Kumana National Park** — offers safari experiences in a peaceful setting where visitors can spot leopards, elephants, and birds, while enjoying scenic views of the forest.","Top places for wildlife safari experiences in Sri Lanka include Gal Oya National Park, Hurulu Eco Park, Kaudulla National Park, Kumana National Park, and the Elephant Transit Home."
Q_ACT_07,What are the best places for boating and boat rides in Sri Lanka?,activity_query,activity_query,0.98,9.14,0.7575757575757576,0.9354012596871972,1.0,0.19277439730019502,What are the best places for boating and boat rides in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Gal Oya National Park is located in Polonnaruwa District for Swimming, Safari, Boat safari, Boat ride, Elephant watching, Camping, and Jeep safari, featuring Road access, Scenic view, Peacefulness, Wildlife, Local guide, Birds, Lake, Elephants, Boat service, and Forest, with facilities including Boat service and Jeep service.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Madu River Safari by Buddhi is located in Galle District for Temple visit, Safari, Boat safari, Boat ride, and Spa treatment, featuring River, Scenic view, Temple, Family friendliness, Wildlife, Ticket price, Local guide, Value for money, Birds, and Boat service, with facilities including Entrance fee and Boat service.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Gregory Lake is located in Nuwara Eliya District for Relaxing and Boat ride, featuring Scenic view, Family friendliness, Ticket price, Cleanliness, Mountain, Food quality, Lake, and Boat service, with facilities including Entrance fee and Boat service.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Kalametiya Eco Bird Watching is a location for Photography, Bird watching, Sunset watching, and Boat ride, featuring Rock formation, Scenic view, Peacefulness, Wildlife, Local guide, Lagoon, Birds, Sunset view, and Boat service, with facilities including Guide service and Boat service.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Koggala Lake is located in Galle District for Temple visit, Relaxing, Boat ride, and Spa treatment, featuring Temple, Peacefulness, Wildlife, Ticket price, Public transport access, Local guide, Value for money, Birds, Lake, and Boat service, with facilities including Tuk tuk service, Entrance fee, and Boat service.', 'Knowledge Graph Fact Knowledge Graph Fact 6. Muthurajawela Marsh is a location for Photography and Boat ride, featuring Peacefulness, Wildlife, Ticket price, Public transport access, Local guide, Accommodation, Lagoon, Birds, and Boat service, with facilities including Accommodation, Entrance fee, Guide service, Boat service, and Visitor centre.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Activity popularity, Positive sentiment', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places for boat rides and boat safaris in Sri Lanka are:

### Boat Ride
- **Gal Oya National Park** — Offers boat rides and boat safaris on the lake, providing opportunities to see wildlife, elephants, and birds with the assistance of a local guide. The park is known for its peacefulness, scenic views, and forest surroundings.
- **Madu River Safari by Buddhi** — Provides boat rides and boat safaris along the river, featuring temple visits, wildlife viewing, and bird watching with a local guide. The area is noted for its scenic views and family-friendly atmosphere.
- **Gregory Lake** — Features boat rides on the lake, offering a scenic view of the mountains and a family-friendly environment. Visitors often appreciate the cleanliness of the area.
- **Kalametiya Eco Bird Watching** — Offers boat rides through the lagoon, allowing for bird watching, sunset viewing, and photography with the help of a local guide. The location is recognized for its peacefulness, rock formations, and scenic views.
- **Koggala Lake** — Provides boat rides on the lake, where visitors can enjoy temple visits, wildlife, and bird watching with a local guide. You can reach the area using a tuk tuk service. The lake is noted for its peacefulness.
- **Muthurajawela Marsh** — Offers boat rides through the lagoon, featuring bird watching, wildlife, and photography opportunities with a local guide. The marsh is known for its peacefulness and is supported by a visitor centre.

### Boat Safari
- **Gal Oya National Park** — Features boat safaris as part of its wildlife and elephant watching activities, supported by a boat service. The park is highly regarded for its elephant sightings and bird life.
- **Madu River Safari by Buddhi** — Conducts boat safaris on the river, which include visits to temples and opportunities to observe birds and wildlife. The experience is facilitated by a dedicated boat service.","The best places for boating and boat rides in Sri Lanka include Madu River Safari by Buddhi, Muthurajawela Marsh, Koggala Lake, Gal Oya National Park, Gregory Lake, Nagadipa Purana Vihara, and Seenigama Muhudu Viharaya."
Q_ACT_08,What are the best locations for bird watching in Sri Lanka?,activity_query,activity_query,1.0,6.75,0.8125,0.9102410997437916,0.8629042034251113,1.0,What are the best locations for bird watching in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Kalametiya Eco Bird Watching is a location for Bird watching, featuring Rock formation, Scenic view, and Peacefulness.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Beddegana Wetland Park is located in Colombo District for Bird watching, featuring Trail, Scenic view, and Peacefulness.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Kumana National Park is located in Ampara District for Bird watching, featuring Road access, Scenic view, and Peacefulness.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Bird watching, positive sentiment', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","Here are the top bird watching destinations in Sri Lanka:

- **Kalametiya Eco Bird Watching** — This location is ideal for bird watching and features a rock formation, a scenic view, and peacefulness.

- **Beddegana Wetland Park** — Located in the Colombo District, this park offers bird watching along a trail, providing a scenic view and peacefulness.

- **Kumana National Park** — Situated in the Ampara District, this park is a destination for bird watching that features road access, a scenic view, and peacefulness.","The best bird watching locations in Sri Lanka include Kalametiya Eco Bird Watching, Beddegana Wetland Park, and Kumana National Park."
Q_ACT_09,Where can I go for scenic photography and viewpoint visits in Sri Lanka?,activity_query,activity_query,0.95,8.91,1.0,0.9659675943652314,0.7795708700959447,0.19277439730019502,Where can I go for scenic photography and viewpoint visits in Sri Lanka?,"[""Knowledge Graph Fact Knowledge Graph Fact 1. Baker's Falls is located in Nuwara Eliya District for Waterfall visit, Hiking, Photography, and Trekking, featuring Waterfall, Trail, Scenic view, Stairs, and Weather condition, with facilities including Steps or stairs."", 'Knowledge Graph Fact Knowledge Graph Fact 2. Beddegana Wetland Park is located in Colombo District for Relaxing, Photography, and Bird watching, featuring Trail, Scenic view, Peacefulness, Family friendliness, Ticket price, Cleanliness, Service quality, Birds, and Lake, with facilities including Ticket or receipt and Pathway.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Brief Garden - Bevis Bawa is located in Beruwala DS Division for Photography, featuring Road access, Scenic view, Peacefulness, Ticket price, Public transport access, Local guide, Sculptures, and Entrance fee, with facilities including Tuk tuk service, Entrance fee, and Guide service.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Coconut Tree Hill is located in Matara District for Photography, Sunset watching, and Viewpoint visit, featuring Road access, Scenic view, Mountain, Crowdedness, Beach, Sea, Sunset view, and Viewpoint.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Devon Falls is located in Nuwara Eliya District for Waterfall visit, Photography, and Viewpoint visit, featuring Waterfall, Road access, Scenic view, and Viewpoint.', 'Knowledge Graph Fact Knowledge Graph Fact 6. Diyaluma Falls is located in Badulla District for Waterfall visit, Swimming, Hiking, and Photography, featuring Waterfall, Road access, Trail, Rock formation, Safety, Scenic view, Weather condition, Public transport access, and Local guide, with facilities including Tuk tuk service.', 'Knowledge Graph Fact Knowledge Graph Fact 7. Dondra Head Lighthouse is located in Unknown for Photography, featuring Scenic view, Stairs, Peacefulness, Ticket price, Beach, Sea, and Lighthouse, with facilities including Steps or stairs and Entrance fee.', 'Knowledge Graph Fact Knowledge Graph Fact 8. Galle Fort Lighthouse is located in Galle District for Photography and Fort visit, featuring Scenic view, Beach, Sea, Fort, Sunset view, and Lighthouse.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Scenic view, Photography', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places for scenic photography and viewpoint visits in Sri Lanka are:

- **Baker's Falls** — This location features a waterfall, a trail, and stairs, providing a scenic view that is well-suited for photography.
- **Beddegana Wetland Park** — Known for its peacefulness, this park features a lake, a pathway, and birds, offering a scenic view that is ideal for photography, bird watching, and relaxing.
- **Brief Garden - Bevis Bawa** — A peaceful spot featuring sculptures and a scenic view, perfect for photography. You can reach the garden using a tuk tuk service, and local guides are available to provide information.
- **Coconut Tree Hill** — A popular viewpoint that provides a scenic view of the sea, beach, and sunset. It is a great spot for photography and sunset watching, though be aware that it can get crowded.
- **Devon Falls** — A waterfall location that serves as a viewpoint with easy road access, offering a scenic view that is perfect for photography.
- **Diyaluma Falls** — A waterfall site featuring rock formations and a scenic view. It is suitable for photography, hiking, and swimming, with local guides available to assist visitors.
- **Dondra Head Lighthouse** — A lighthouse location featuring stairs and a scenic view of the sea and beach, making it an ideal spot for photography.
- **Galle Fort Lighthouse** — A fort location featuring a lighthouse and a scenic view of the sea, beach, and sunset, suitable for photography and a fort visit.","Top destinations for scenic photography and viewpoint visits in Sri Lanka include Baker's Falls, Beddegana Wetland Park, Brief Garden - Bevis Bawa, Coconut Tree Hill, Devon Falls, Diyaluma Falls, Dondra Head Lighthouse, Galle Fort Lighthouse, Kandy View Point, and Horton Plains National Park."
Q_ACT_10,Where can I go surfing and whale watching in Sri Lanka?,activity_query,activity_query,1.0,7.36,0.8571428571428571,0.9508529347433966,0.2795708701209446,1.0,Where can I go surfing and whale watching in Sri Lanka?,"['Knowledge Graph Fact Knowledge Graph Fact 1. Weligama Beach is a beach in Matara District for Surfing, featuring Safety, Peacefulness, and Family friendliness.', 'Knowledge Graph Fact Knowledge Graph Fact 2. Hiriketiya Beach is a beach in Matara District for Surfing, featuring Peacefulness, Family friendliness, and Ticket price.', 'Knowledge Graph Fact Knowledge Graph Fact 3. Arugam Bay is a beach in Ampara District for Surfing, featuring Peacefulness, Ticket price, and Cleanliness.', 'Knowledge Graph Fact Knowledge Graph Fact 4. Whale Watching in Mirissa is an activity in Matara District for Whale watching, featuring Wildlife, Ticket price, and Food quality.', 'Knowledge Graph Fact Knowledge Graph Fact 5. Kabalana Beach is a beach in Galle District for Surfing, featuring Ticket price, Cleanliness, and Beach.', 'Knowledge Graph Fact RETRIEVAL NOTES:', 'Knowledge Graph Fact - Ranked by: Surfing, Whale watching', 'Knowledge Graph Fact - CONTRADICTION RULE: If Review Evidence contradicts the Knowledge Graph facts, you MUST treat the Knowledge Graph as the absolute ground truth.']","The best places for surfing and whale watching in Sri Lanka are listed below.

### Surfing

- **Weligama Beach** — Located in the Matara District, this beach is noted for its safety, peacefulness, and family friendliness.
- **Hiriketiya Beach** — Situated in the Matara District, this spot is recognized for its peacefulness, family friendliness, and ticket price.
- **Arugam Bay** — Found in the Ampara District, this beach is highlighted for its peacefulness, ticket price, and cleanliness.
- **Kabalana Beach** — Located in the Galle District, this beach features notable ticket price, cleanliness, and beach access.

### Whale watching

- **Whale Watching in Mirissa** — An experience in the Matara District that features wildlife, ticket price, and food quality.","The top surfing destinations in Sri Lanka include Weligama Beach, Hiriketiya Beach, Arugam Bay, and Kabalana Beach. For whale watching, Mirissa is the top destination."
