poi_original,poi
Adam's Peak,Sri Pada / Adam's Peak
Adam's Peak Base Camp,Sri Pada / Adam's Peak
Adam's Peak Base Camp (Dulhoise),Sri Pada / Adam's Peak
Agra,
Ahangama,
Ahungala via Madu River and Turtle Hatchery,Madu River Safari by Buddhi
Ahungalla,
Airport,Negombo Beach
Airport/Colombo,Colombo Lotus Tower
Airport/Negombo,Negombo Beach
Alleppey,
Aluthgama,
Ambalangoda,Hikkaduwa Beach
Ambalangoda (Galle,Hikkaduwa Beach
Ambalangoda or Hikkaduwa,Hikkaduwa Beach
Ambalangoda via Galle and Balapitiya,Hikkaduwa Beach
Ambalangoda via Galle and Coastal Attractions,Hikkaduwa Beach
Ampara,
Anamaduwa,
Anuradhapura,Jaya Sri Maha Bodhi
Anuradhapura (Wilpattu National Park),Jaya Sri Maha Bodhi
Anuradhapura - Mihintale,Jaya Sri Maha Bodhi
Anuradhapura and back,Jaya Sri Maha Bodhi
Anuradhapura day excursion,Jaya Sri Maha Bodhi
Anuradhapura via Avukana Buddha Statue,Jaya Sri Maha Bodhi
Anuradhapura via Pinnawala,Jaya Sri Maha Bodhi
Anuradhapura via Wilpattu National Park,Jaya Sri Maha Bodhi
Arrival,
Arrival at Bandaranaike International Airport,Negombo Beach
Arrival at Bandaranayake International Airport,Negombo Beach
Arrival at Colombo,Colombo Lotus Tower
Arrival in Colombo,Colombo Lotus Tower
Arrival in Katunayaka,Negombo Beach
Arrival in Sri Lanka & Transfer,
Arugam Bay,Arugam Bay
Arugam Bay via Bundala,Yala National Park
Arugam Bay via Kumana,Kumana National Park
Arugam Bay via Little Adam's Peak and Ravana Falls,Little Adam's Peak View Point
Arugambay,Arugam Bay
Avukana - Anuradhapura,Jaya Sri Maha Bodhi
Backwaters,
Balapitiya,Madu River Safari by Buddhi
Balapitiya Beach,Madu River Safari by Buddhi
Balapitiya via Galle,Madu River Safari by Buddhi
Balapitiya),Madu River Safari by Buddhi
Bandaranaike International Airport,Negombo Beach
Bandaranaike International Airport Departure,Negombo Beach
Bandarawela,
Bandarawela via Horton Plains,Horton Plains National Park
Bandarawela via Tea Plantations,Ceylon Tea Museum
Batticaloa,Batticaloa Fort
Beach Area,
Belihuloya,
Benthota,
Bentota,Bentota Beach
Bentota - Galle Fort & Turtle Hatchery,Galle Dutch Fort
Bentota - Hikkaduwa,Hikkaduwa Beach
Bentota Beach,Bentota Beach
Bentota and Galle,Bentota Beach
Bentota and back,Bentota Beach
Bentota area,Bentota Beach
Bentota through Galle,Bentota Beach
Bentota via Galle,Bentota Beach
Bentota via Yala,Bentota Beach
Beruwala,
Beruwala and back,
Bogawanthalawa,
Bolgoda,
Bundala,Yala National Park
Bundala National Park,Yala National Park
Chilaw,
Colombo,Colombo Lotus Tower
Colombo & Departure,Colombo Lotus Tower
Colombo (Departure),Colombo Lotus Tower
Colombo - Colombo City Tour & Departure,Colombo Lotus Tower
Colombo Airport,Colombo Lotus Tower
Colombo Airport (Departure),Colombo Lotus Tower
Colombo Airport Departure,Colombo Lotus Tower
Colombo Bandaranayke International Airport,Colombo Lotus Tower
Colombo City Tour,Colombo Lotus Tower
Colombo Departure,Colombo Lotus Tower
Colombo International Airport,Colombo Lotus Tower
Colombo and Departure,Colombo Lotus Tower
Colombo departure,Colombo Lotus Tower
Colombo or Airport,Colombo Lotus Tower
Colombo via Galle,Colombo Lotus Tower
Colombo via Galle Fort,Galle Dutch Fort
Colombo/Airport,Colombo Lotus Tower
Colombo/Bandaranaike Airport,Negombo Beach
Colombo/Negombo,Colombo Lotus Tower
Colombo/Negombo Airport,Colombo Lotus Tower
Colombo/Negombo/Airport,Colombo Lotus Tower
Colombo/Negombo/Mount Lavinia,Colombo Lotus Tower
Colombo/Negombo/Mount Lavinia/Airport,Colombo Lotus Tower
Colombo/Negombo/Mount Lavinia/BIA Airport,Colombo Lotus Tower
Cultural Triangle,
Dalhousie,
Dambana Vedda Village and back,
Dambulla,Dambulla Cave Temple
Dambulla - Polonnaruwa,Ancient City of Polonnaruwa
Dambulla - Sigiriya,Sigiriya Lion Rock
Dambulla via Anuradhapura,Jaya Sri Maha Bodhi
Dambulla via Dambadeniya and Panduwasnuwara,Dambulla Cave Temple
Dambulla/Habarana,Dambulla Cave Temple
Dambulla/Sigiriya,Sigiriya Lion Rock
Delft and Nagadeepa,Nagadipa Purana Vihara
Delhi,
Departure,
Destination,
Digana,
Elkaduwa,
Ella,Ella Rock
Ella (by train),Ella Rock
Ella City,Ella Rock
Ella and Nine Arch Bridge,Nine Arches Bridge
Ella and Yala,Ella Rock
Ella area,Ella Rock
Ella by Scenic Train,Ella Rock
Ella by Train,Ella Rock
Ella by Train & Ella Exploration,Ella Rock
Ella via Nine Arch Bridge,Nine Arches Bridge
Ella via Nuwara Eliya,Gregory Lake
Ella via Tea Plantations and Train,Ella Rock
Felidhoo Island,
Frankfurt,
Fulidhoo,
Gal Oya,Gal Oya National Park
Gal Oya National Park,Gal Oya National Park
Galaha,
Galle,Galle Dutch Fort
Galle - Hikkaduwa,Hikkaduwa Beach
Galle and back,Galle Dutch Fort
Galle and return,Galle Dutch Fort
Galle/Hikkaduwa,Hikkaduwa Beach
Germany,
Giritale,
Habarana,
Habarana (Minneriya National Park),Minneriya National Park
Habarana via Minneriya National Park Safari,Minneriya National Park
Hambantota,Yala National Park
Hanguranketha,
Haputale,
Haputale by Train,
Haputhale,
Hatton,
Heeloya,
Heeloya Knuckles Range,Knuckles Mountain Range
Heeloya Village Trekking,
Hikkaduwa,Hikkaduwa Beach
Hikkaduwa - Galle,Hikkaduwa Beach
Hiriketiya,
Horton Plains,Horton Plains National Park
Horton Plains - Ella,Horton Plains National Park
Hotel,
Hunnas Falls,
Jaffna,Jaffna Fort
Jaipur,
Journey,
Kalametiya,
Kalpitiya,
Kalutara,Kalutara Bodhiya
Kandalama,
Kandapola - Pedro Tea Estate - Colombo,Colombo Lotus Tower
Kandy,Temple of the Sacred Tooth Relic
Kandy - Cultural Highlights,Temple of the Sacred Tooth Relic
Kandy - Hanthana,Temple of the Sacred Tooth Relic
Kandy through Matale,Temple of the Sacred Tooth Relic
Kandy via Dambulla,Dambulla Cave Temple
Kandy via Matale,Temple of the Sacred Tooth Relic
Kandy via Nuwara Eliya,Gregory Lake
Kandy via Pinnawala and Peradeniya,Pinnawala Elephant Orphanage
Kandy via Sigiriya,Sigiriya Lion Rock
Kandy via Sigiriya Lion Rock Fortress and Village Tour,Sigiriya Lion Rock
Kandy via Spice Garden,Temple of the Sacred Tooth Relic
Kandy with Cultural Stops,Temple of the Sacred Tooth Relic
Karauli/Dholpur,
Kataragama,Kataragama Temple
