trip_id,order,poi
1,1,Colombo Lotus Tower
1,2,Sigiriya Lion Rock
1,3,Temple of the Sacred Tooth Relic
1,4,Gregory Lake
1,5,Ella Rock
1,6,Mirissa Beach
1,7,Colombo Lotus Tower
2,1,Colombo Lotus Tower
2,2,Sigiriya Lion Rock
2,3,Temple of the Sacred Tooth Relic
2,4,Gregory Lake
2,5,Ella Rock
2,6,Mirissa Beach
2,7,Colombo Lotus Tower
3,1,Negombo Beach
3,2,Jaya Sri Maha Bodhi
3,3,Dambulla Cave Temple
3,4,Temple of the Sacred Tooth Relic
3,5,Gregory Lake
3,6,Ella Rock
3,7,Yala National Park
4,1,Negombo Beach
4,2,Sigiriya Lion Rock
4,3,Temple of the Sacred Tooth Relic
4,4,Gregory Lake
4,5,Weligama Beach
4,6,Bentota Beach
4,7,Colombo Lotus Tower
5,1,Gregory Lake
5,2,Udawalawe National Park
6,1,Colombo Lotus Tower
6,2,Mirissa Beach
6,3,Ella Rock
6,4,Temple of the Sacred Tooth Relic
6,5,Sigiriya Lion Rock
6,6,Colombo Lotus Tower
7,1,Colombo Lotus Tower
7,2,Sigiriya Lion Rock
7,3,Temple of the Sacred Tooth Relic
7,4,Gregory Lake
7,5,Ella Rock
7,6,Hikkaduwa Beach
7,7,Galle Dutch Fort
8,1,Negombo Beach
8,2,Dambulla Cave Temple
9,1,Colombo Lotus Tower
9,2,Negombo Beach
9,3,Sigiriya Lion Rock
9,4,Temple of the Sacred Tooth Relic
9,5,Gregory Lake
9,6,Kataragama Temple
9,7,Bentota Beach
9,8,Colombo Lotus Tower
10,1,Temple of the Sacred Tooth Relic
10,2,Ella Rock
10,3,Galle Dutch Fort
11,1,Negombo Beach
11,2,Sigiriya Lion Rock
11,3,Temple of the Sacred Tooth Relic
11,4,Gregory Lake
11,5,Ella Rock
11,6,Udawalawe National Park
11,7,Mirissa Beach
11,8,Colombo Lotus Tower
12,1,Negombo Beach
12,2,Sigiriya Lion Rock
12,3,Temple of the Sacred Tooth Relic
12,4,Gregory Lake
12,5,Ella Rock
12,6,Hikkaduwa Beach
12,7,Colombo Lotus Tower
13,1,Colombo Lotus Tower
13,2,Sigiriya Lion Rock
13,3,Temple of the Sacred Tooth Relic
13,4,Ella Rock
13,5,Mirissa Beach
13,6,Colombo Lotus Tower
14,1,Colombo Lotus Tower
14,2,Negombo Beach
14,3,Temple of the Sacred Tooth Relic
14,4,Gregory Lake
14,5,Udawalawe National Park
14,6,Galle Dutch Fort
14,7,Colombo Lotus Tower
15,1,Sigiriya Lion Rock
15,2,Pasikudah Beach
15,3,Ella Rock
16,1,Negombo Beach
16,2,Dambulla Cave Temple
16,3,Negombo Beach
17,1,Colombo Lotus Tower
17,2,Dambulla Cave Temple
17,3,Temple of the Sacred Tooth Relic
17,4,Gregory Lake
17,5,Ella Rock
17,6,Colombo Lotus Tower
18,1,Colombo Lotus Tower
18,2,Negombo Beach
