trip_id,order,poi
1,1,Negombo/Colombo
1,2,Sigiriya
1,3,Kandy
1,4,Nuwara Eliya
1,5,Ella
1,6,Tissamaharama
1,7,Mirissa
1,8,Colombo/Negombo/Airport
2,1,Negombo/Colombo
2,2,Sigiriya
2,3,Kandy
2,4,Nuwara Eliya
2,5,Ella
2,6,Tissamaharama
2,7,Mirissa
2,8,Colombo/Negombo Airport
3,1,Negombo
3,2,Anuradhapura
3,3,Dambulla
3,4,Kandy
3,5,Nuwara Eliya
3,6,Ella
3,7,Yala National Park
3,8,South Coast
4,1,Negombo
4,2,Sigiriya
4,3,Sigiriya
4,4,Kandy
4,5,Kandy
4,6,Nuwara Eliya
4,7,Haputale
4,8,Thissamaharama
4,9,Weligama
4,10,Bentota
4,11,Colombo
5,1,Nuwara Eliya
5,2,Udawalawe National Park
6,1,Colombo
6,2,Mirissa
6,3,Ella
6,4,Kandy
6,5,Sigiriya
6,6,Colombo Departure
7,1,Arrival in Colombo
7,2,Sigiriya
7,3,Kandy
7,4,Nuwara Eliya
7,5,Ella
7,6,Mirissa/Hikkaduwa
7,7,Galle
8,1,Airport
8,2,Dambulla
9,1,Colombo
9,2,Negombo
9,3,Sigiriya
9,4,Kandy
9,5,Nuwara Eliya
9,6,Kataragama
9,7,Bentota
9,8,Colombo
10,1,Kandy
10,2,Ella
10,3,Tissamaharama
10,4,Galle
11,1,Negombo
11,2,Sigiriya
11,3,Kandy
11,4,Nuwara Eliya
11,5,Ella
11,6,Udawalawe
11,7,Mirissa
11,8,Colombo
12,1,Negombo
12,2,Sigiriya
12,3,Kandy
12,4,Nuwara Eliya
12,5,Ella
12,6,Hikkaduwa
12,7,Colombo
13,1,Colombo
13,2,Sigiriya
13,3,Kandy
13,4,Ella
13,5,Tissamaharama
13,6,Mirissa
13,7,Colombo
14,1,Colombo
14,2,Negombo
14,3,Kandy
14,4,Nuwara Eliya
14,5,Udawalawe
14,6,Galle
14,7,Colombo
15,1,Sigiriya
15,2,Passikudah
15,3,Ella and Yala
16,1,Airport
16,2,Dambulla
16,3,Airport
17,1,Colombo
17,2,Dambulla
17,3,Kandy
17,4,Nuwara Eliya
17,5,Ella
17,6,South Coast
17,7,Colombo and Departure
18,1,Colombo
18,2,Negombo
18,3,Anuradhapura
18,4,Trincomalee
18,5,Polonnaruwa
18,6,Kandy
18,7,Nuwara Eliya
18,8,Ella
18,9,Yala
18,10,Hikkaduwa
18,11,Galle
18,12,Colombo
19,1,Negombo
19,2,Anuradhapura
19,3,Sigiriya
19,4,Dambulla
19,5,Kandy
19,6,Nuwara Eliya
19,7,Ella
19,8,Hikkaduwa
19,9,Galle
19,10,Colombo
20,1,Colombo
20,2,Negombo
20,3,Wilpattu
20,4,Kandy
20,5,Nuwara Eliya
20,6,Ella
20,7,Yala
20,8,South Coast
20,9,Colombo
21,1,Jaffna
21,2,Anuradhapura
21,3,Sigiriya
21,4,Kandy
21,5,Nuwara Eliya
21,6,Ella
21,7,South Coast
21,8,Colombo
22,1,Dambulla
22,2,Kandy
22,3,Nuwara Eliya
22,4,Ella
22,5,Galle
23,1,Arrival in Colombo
23,2,Dambulla
23,3,Nuwara Eliya
23,4,Ella
23,5,South Coast (Mirissa/Weligama)
23,6,Bentota
24,1,Arrival in Colombo
24,2,Dambulla
24,3,Kandy
24,4,Nuwara Eliya
24,5,Ella
24,6,Colombo and Departure
25,1,Colombo
25,2,Negombo
25,3,Dambulla
25,4,Anuradhapura
25,5,Sigiriya
25,6,Kandy
25,7,Nuwara Eliya
25,8,Kataragama
25,9,Bentota
25,10,Colombo
26,1,Colombo
26,2,Sigiriya
26,3,Kandy
26,4,Ella
26,5,Bentota
26,6,Colombo
27,1,Sigiriya
27,2,Kandy
27,3,Nuwara Eliya
27,4,Ella
27,5,Yala
27,6,Tangalle
27,7,Mirissa - Galle
27,8,Colombo
28,1,Colombo
28,2,Negombo
28,3,Anuradhapura
28,4,Sigiriya
28,5,Kandy
28,6,Nuwara Eliya
28,7,Ella
28,8,Tissamaharama
28,9,Mirissa
28,10,Colombo
28,11,Airport
29,1,Nuwara Eliya
29,2,Ella
30,1,Arrival in Colombo
30,2,Sigiriya
30,3,Kandy
30,4,Nuwara Eliya
30,5,Ella
30,6,Yala
30,7,Galle
31,1,Negombo
31,2,Anuradhapura
31,3,Sigiriya
31,4,Kandy
31,5,Nuwara Eliya
31,6,Yala
32,1,Colombo
32,2,Galle
32,3,Yala National Park
32,4,Nuwara Eliya
32,5,Kandy
32,6,Sigiriya
32,7,Chilaw
32,8,Colombo Departure
33,1,Airport
33,2,Kandy
34,1,Negombo
34,2,Anuradhapura
34,3,Sigiriya
34,4,Kandy
34,5,Nuwara Eliya
34,6,Bentota Beach
34,7,Colombo (Departure)
35,1,Negombo
35,2,Sigiriya
35,3,Kandy
35,4,Nuwara Eliya
35,5,Ella
35,6,Udawalawe
35,7,Yala
35,8,Mirissa
35,9,Colombo
36,1,Passikudah
36,2,Dambulla
36,3,Kandy
36,4,Nuwara Eliya
36,5,Yala
36,6,Colombo
37,1,Airport
37,2,Negombo
37,3,Dambulla
37,4,Nuwara Eliya
37,5,Ella
37,6,Yala
37,7,Colombo
37,8,Airport
38,1,Sigiriya Rock Fortress
38,2,Kandy
38,3,Ella and Nine Arch Bridge
38,4,Arugam Bay via Little Adam's Peak and Ravana Falls
38,5,Galle
39,1,Kandy
39,2,Habarana
39,3,Ella via Nuwara Eliya
39,4,Udawalawe
40,1,Colombo
40,2,Dambulla
40,3,Kandy
40,4,Nuwara Eliya
40,5,Yala
40,6,Bentota
40,7,Airport
41,1,Colombo
41,2,Kandy
41,3,Bentota
41,4,Galle and return
41,5,Colombo
42,1,Negombo
42,2,Sigiriya
42,3,Kandy
42,4,Nuwara Eliya
42,5,Yala
42,6,Mirissa
42,7,Colombo
43,1,Colombo
43,2,Weligama/Mirissa
43,3,Thissamaharama
43,4,Ella
43,5,Kandy
43,6,Sigiriya
43,7,Colombo
44,1,Kandy
44,2,Nuwara Eliya
45,1,Colombo
45,2,Negombo
45,3,Sigiriya - Pinnawala
45,4,Village Tour & Sigiriya Rock Fortress
45,5,Kandy - Cultural Highlights
45,6,Nuwara Eliya - Little England
45,7,Yala - Scenic Train Ride
45,8,Bentota - Galle Fort & Turtle Hatchery
45,9,Colombo - Colombo City Tour & Departure
46,1,Colombo
46,2,Habarana
46,3,Sigiriya
46,4,Kandy
46,5,Ella
46,6,Tissamaharama
46,7,Mirissa
46,8,Colombo
47,1,Colombo
47,2,Sigiriya
47,3,Nuwara Eliya
47,4,Yala
47,5,Galle
48,1,Negombo
48,2,Dambulla via Dambadeniya and Panduwasnuwara
48,3,Polonnaruwa and Habarana Cultural Show
48,4,Kandy via Sigiriya Lion Rock Fortress and Village Tour
48,5,Ella via Tea Plantations and Train
48,6,Mirissa via Udawalawe National Park
48,7,Ahungala via Madu River and Turtle Hatchery
48,8,Lunuganga and Beruwala Departure
49,1,Arrival in Colombo
49,2,Dambulla
49,3,Kandy
49,4,Nuwara Eliya
