poi_id,name,category,satisfaction_score,cost,duration_time_min,latitude,longitude
1,Aberdeen Falls,Waterfall,0.21,0,90,6.94833,80.50194
2,Abhayagiri Dagaba,Religious Site,0.85,0,120,8.3711,80.3951
3,Ambewela Farms,Farm / Factory,2.02,1000,120,6.9037507,80.7957375
4,Ambuluwawa Tower,Landmark / Tower,0.63,2000,120,7.1615272,80.5473577
5,Ancient City of Polonnaruwa,Heritage Site,3.23,4500,120,7.9403,81.0033
6,Angurukaramulla Temple,Religious Site,1.16,0,120,7.2096609,79.8537614
7,Arugam Bay,Beach,2.16,0,120,6.8466228,81.8305531
8,Bahiravokanda Vihara Buddha Statue,Religious Site,3.23,300,120,7.2936,80.63
9,Baker's Falls,Waterfall,0.81,0,90,6.7925595,80.789623
10,Bambarakanda Falls,Waterfall,0.68,0,90,6.7742969,80.8311072
11,Batticaloa Fort,Fort / Historic Site,0.76,0,120,7.7117713,81.7019475
12,Beddegana Wetland Park,Wetland / Nature Park,1.5,100,240,6.8904487,79.9090936
13,Bentota Beach,Beach,3.88,0,180,6.4290746,79.9943317
14,Bogoda Wooden Bridge,Heritage Site,0.26,0,120,7.0079106,80.9963053
15,Bopath Ella (Bopath Falls),Waterfall,4.5,0,120,6.8017623,80.3692116
16,Brief Garden - Bevis Bawa,Garden / Park,2.58,1500,120,6.4571463,80.0375895
17,Buduruwagala Temple,Religious Site,0.76,500,120,6.6848766,81.0793976
18,Casuarina Beach,Beach,1.27,0,180,9.7631004,79.8876687
19,Ceylon Tea Museum,Museum,3.09,1000,90,7.2686376,80.6326564
20,Coconut Tree Hill,Viewpoint / Hiking,0.81,0,120,5.9392522,80.4682756
21,Colombo Lotus Tower,Landmark / Tower,0.48,3000,120,6.9270163,79.8583152
22,Colombo National Museum,Museum,3.23,1500,90,6.9104168,79.8609194
23,Dagoba of Thuparama,Religious Site,0.85,0,120,8.3556,80.3961
24,Dambulla Cave Temple,Religious Site,3.1,2000,120,7.8566286,80.6484958
25,Dehiwala Zoo - Sri Lanka,Zoo / Wildlife Attraction,1.58,1500,120,6.8571738,79.8742032
26,Demodara Loop,Engineering Landmark,0.81,0,120,6.9025732,81.0640232
27,Devon Falls,Waterfall,1.31,0,90,6.9515033,80.6301127
28,Diyaluma Falls,Waterfall,1.11,0,90,6.733071,81.031448
29,Diyatha Uyana,Garden / Park,0.81,0,120,6.8940896,79.912699
