,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Aberdeen Falls,0.0,448.74,92.81,68.53,348.99,218.38,416.08,115.71,102.32,116.46,444.73,186.0,227.64,155.46,61.99,211.91,198.47,905.7,108.69,317.55,201.06,200.51,443.85,289.31,198.09,176.08,40.03,178.67,184.78,324.3,176.64,302.96,810.94,191.29,174.36,87.24,562.69,318.79,356.42,302.96,205.41,204.94,303.66,86.36,201.73,56.29,307.95,86.68,99.56,297.11,167.94,285.11,316.54,103.78,314.14,358.95,198.54,437.4,867.32,867.09,202.99,304.67,440.4,312.54,309.02,302.4,203.85,221.85,116.23,116.21,564.69,314.68,406.95,913.56,182.1,355.5,347.94,183.15,302.23,240.28,377.76,15.49,168.81,177.13,439.37,89.04,263.81,256.93,267.36,92.4,274.46,539.19,314.64,443.49,352.97,316.39,95.19,429.86,202.01,269.72,201.51,868.11,231.3,869.98,226.11,224.89,891.9,590.96,176.21,205.82,452.12,91.91,202.07,330.19,86.42,116.42,204.69,318.43,350.72,292.07,354.04,175.97,197.38,185.08,375.32,105.58,442.09,445.76,332.61,306.04,300.13,201.64,280.65,514.86,327.19,81.45,172.14,344.74,423.39,39.0,144.96,46.03,199.35,200.57,346.61,117.0,568.76,569.25,304.11,429.24,182.57,306.47,565.59,82.99,200.27,225.64,281.42,313.93,309.0,322.48,328.67,495.84,200.74,335.68,279.6
Abhayagiri Dagaba,448.74,0.0,478.11,383.38,162.99,281.65,333.89,346.71,511.5,520.31,232.54,342.81,436.43,467.91,345.56,428.55,400.17,236.89,354.56,535.65,338.82,342.06,2.49,126.02,352.17,506.76,452.46,552.09,341.81,541.11,474.13,517.54,184.76,437.85,519.0,366.66,138.52,254.08,159.56,517.54,340.31,341.17,518.05,457.84,341.1,503.46,526.8,461.61,473.01,519.08,293.73,496.59,534.58,508.14,532.27,77.74,342.89,5.89,215.62,215.43,336.96,519.67,4.24,531.17,527.17,516.08,404.12,431.87,348.64,348.15,128.51,351.03,88.05,238.6,329.37,160.16,376.27,315.99,521.7,451.59,345.5,464.14,536.31,517.44,4.84,455.19,328.75,468.31,242.11,372.21,303.77,131.11,534.25,18.65,91.82,534.75,464.87,9.85,357.18,500.53,297.5,221.76,163.81,216.57,276.33,283.43,226.73,136.76,514.07,339.19,197.92,458.04,337.9,119.73,446.81,235.71,197.19,536.85,161.78,127.94,160.74,516.09,400.2,184.92,56.8,351.75,3.37,1.61,162.15,524.19,514.89,341.19,492.36,146.42,121.02,458.98,434.37,359.14,129.0,487.56,529.93,456.75,334.17,334.89,163.36,347.46,136.04,135.22,521.49,10.06,423.17,521.28,136.03,456.96,341.1,467.67,178.81,533.87,528.93,538.62,543.75,61.24,335.67,338.02,123.42
Ambewela Farms,92.81,478.11,0.0,112.18,332.38,309.36,323.64,133.07,35.01,42.19,380.14,276.88,291.49,70.67,136.99,275.36,112.2,942.69,125.55,320.16,292.78,291.9,473.34,303.19,288.13,83.76,53.85,91.11,275.74,315.36,90.86,329.4,833.31,150.13,81.6,121.78,545.21,236.85,340.56,329.4,297.11,296.55,330.02,20.27,293.25,83.68,281.42,16.52,10.63,310.76,260.19,325.29,297.26,30.58,291.84,363.17,289.8,467.44,901.59,901.24,294.9,329.21,469.93,320.42,322.69,259.86,279.39,286.71,130.54,131.12,551.57,234.26,401.81,946.8,274.26,339.49,274.65,171.81,318.41,298.09,285.92,92.08,78.79,84.34,469.26,23.12,184.09,308.68,223.5,147.54,182.4,522.17,311.27,465.94,350.29,319.65,15.11,458.76,291.43,246.26,293.85,909.47,245.42,903.51,316.5,316.03,923.21,577.78,83.46,297.62,401.38,20.83,293.89,334.29,31.35,178.41,203.38,315.81,334.46,303.32,337.91,83.16,273.34,220.54,388.46,131.12,471.62,474.99,317.87,322.46,327.94,293.16,322.54,489.45,331.35,19.95,182.7,261.09,400.11,88.52,59.12,47.23,291.41,292.61,330.04,131.74,552.99,553.89,270.28,459.58,126.47,330.21,549.45,21.45,291.77,249.43,266.72,306.88,316.03,302.27,328.39,543.47,292.71,245.66,324.6
Ambuluwawa Tower,68.53,383.38,112.18,0.0,283.2,216.96,412.65,48.9,138.51,150.6,399.51,216.71,287.94,148.22,126.09,272.81,223.76,843.6,42.94,385.22,227.38,228.36,378.51,220.89,230.91,180.69,70.93,202.5,215.23,390.34,167.4,371.29,744.64,245.94,184.8,18.84,495.94,294.04,290.4,371.29,231.69,231.69,372.0,94.74,228.94,120.47,369.71,97.59,112.56,365.55,176.23,351.94,380.31,137.04,377.14,290.44,227.1,372.19,804.24,803.96,228.15,373.09,375.06,380.68,377.49,358.46,257.46,281.79,50.34,50.1,497.23,346.37,338.94,850.2,207.06,289.52,386.42,120.19,370.74,302.94,388.5,83.81,188.98,186.02,374.12,94.44,296.27,321.36,214.11,160.01,285.9,472.41,381.54,376.56,284.89,384.13,104.7,364.33,236.34,331.93,208.67,807.66,162.77,806.66,221.91,223.82,827.91,523.46,183.92,231.54,397.89,98.14,227.81,261.71,86.83,66.39,137.91,385.46,284.85,223.56,288.11,184.63,250.86,119.27,307.03,37.56,376.76,380.36,266.59,374.57,368.38,228.94,347.21,450.04,258.73,92.81,239.59,372.54,358.59,105.75,171.28,76.33,223.82,225.19,280.84,50.85,501.69,502.11,363.47,364.07,230.23,374.91,498.6,92.19,227.74,294.19,216.09,380.25,377.06,386.08,396.06,437.59,225.69,352.63,218.91
Ancient City of Polonnaruwa,348.99,162.99,332.38,283.2,0.0,298.02,301.0,234.34,367.09,370.65,160.47,332.4,399.09,293.27,286.37,388.74,276.9,468.99,240.79,455.82,335.04,337.06,160.84,79.53,342.98,326.94,332.06,379.8,331.29,453.42,291.02,454.75,372.33,335.67,341.68,264.71,150.15,192.24,5.85,454.75,337.6,338.04,455.25,314.46,336.84,390.75,427.95,318.04,323.66,446.58,289.0,443.87,440.18,362.01,435.96,57.07,336.93,159.31,436.59,436.17,334.43,455.52,159.3,454.96,455.02,407.75,375.08,394.71,233.25,233.38,153.5,349.56,55.35,465.28,321.65,5.06,386.93,166.71,451.19,410.16,324.88,363.04,364.76,338.7,159.82,310.63,324.3,423.19,92.2,308.93,277.51,133.78,450.3,141.16,37.34,455.35,317.29,152.49,347.65,404.34,304.51,455.12,98.1,436.65,296.58,301.91,446.24,171.89,335.23,336.98,121.72,312.0,334.75,52.99,304.01,194.73,101.85,453.42,1.61,73.52,3.95,337.63,370.52,142.71,85.98,245.87,160.11,161.09,11.89,453.97,453.06,336.87,440.75,117.18,53.19,317.94,356.1,355.63,53.7,381.06,368.1,333.17,331.19,332.13,1.68,232.61,155.01,155.52,418.29,156.33,315.44,456.57,152.64,315.21,336.33,399.28,47.37,447.44,452.07,443.52,462.03,242.47,332.73,320.94,153.48
Angurukaramulla Temple,218.38,281.65,309.36,216.96,298.02,0.0,439.29,243.62,320.25,334.44,418.33,71.31,174.58,362.19,144.06,170.47,291.72,562.23,243.73,310.32,62.23,65.89,278.66,224.44,77.73,389.91,255.56,397.05,70.67,326.61,382.39,272.42,523.71,272.13,390.43,222.79,427.62,357.03,301.12,272.42,62.72,63.76,272.9,298.5,64.52,258.6,333.07,299.96,314.42,286.0,37.66,242.7,331.94,322.05,333.23,273.65,67.35,273.94,541.04,541.05,59.72,275.94,276.6,301.38,292.49,341.94,139.05,170.49,247.63,246.84,422.16,371.19,314.34,573.93,58.58,300.84,391.05,304.71,285.63,191.73,416.7,224.38,386.96,392.72,275.35,299.96,335.79,209.99,285.65,163.72,344.24,412.06,315.15,290.82,280.73,308.93,308.44,271.68,82.26,307.4,20.55,529.38,200.42,544.03,7.75,4.8,562.58,438.93,391.35,61.41,404.99,303.47,60.96,258.83,294.51,118.22,210.32,316.55,298.53,229.67,300.18,391.46,136.45,156.75,268.47,232.48,277.58,280.2,286.59,287.42,268.98,64.64,237.81,409.35,257.2,294.51,227.62,393.12,350.13,241.31,363.34,262.26,57.72,58.16,296.64,247.14,428.79,428.49,336.6,268.73,273.23,277.98,427.37,295.24,64.92,237.78,259.91,318.56,300.42,336.42,319.98,275.31,58.93,387.81,166.78
Arugam Bay,416.08,333.89,323.64,412.65,301.0,439.29,0.0,400.24,325.52,312.96,140.03,420.12,411.94,265.37,319.6,401.35,168.04,559.3,396.77,358.81,431.44,430.76,331.97,340.68,427.65,240.0,376.29,252.11,419.34,338.66,245.42,395.99,484.67,240.12,243.02,411.15,292.63,79.81,305.77,395.99,434.46,434.06,396.24,330.77,431.73,397.61,294.57,329.89,316.54,369.52,406.92,409.78,313.52,321.41,306.04,256.87,429.24,330.16,535.39,535.06,432.96,393.53,330.59,366.61,375.78,256.92,412.96,409.71,396.0,396.88,302.6,107.69,257.76,555.53,418.52,305.02,128.4,373.44,376.89,410.91,45.0,415.52,255.39,239.74,330.75,328.8,115.72,411.81,217.41,319.2,78.35,284.28,345.56,319.95,243.51,359.52,321.32,325.09,429.68,287.52,430.49,549.88,315.89,535.22,443.4,444.06,541.25,313.23,240.3,434.85,178.58,325.48,432.24,339.42,333.54,330.81,281.43,348.85,302.48,336.8,304.15,240.81,409.26,329.61,277.29,407.68,331.3,332.38,298.89,379.33,396.9,431.67,410.02,257.18,338.18,335.27,306.52,95.33,229.48,408.3,281.94,370.07,430.53,431.37,300.17,396.92,298.73,299.77,277.2,327.22,218.94,393.07,296.67,334.14,430.69,350.16,280.89,337.81,363.18,313.94,358.5,385.66,431.43,67.76,394.68
Bahiravokanda Vihara Buddha Statue,115.71,346.71,133.07,48.9,234.34,243.62,400.24,0.0,165.28,174.99,359.21,258.28,336.66,145.39,174.81,321.6,237.36,810.3,7.89,428.96,267.02,268.59,341.87,177.17,272.94,182.96,107.59,216.3,256.74,431.76,160.84,418.54,705.26,278.79,190.8,30.73,447.34,269.04,241.56,418.54,271.2,271.39,419.25,112.97,268.91,163.46,406.71,116.64,129.56,411.04,209.96,400.37,419.27,162.28,415.31,244.41,267.64,335.83,769.71,769.39,267.32,420.13,338.46,425.31,423.04,390.66,305.19,330.49,4.26,3.39,449.01,360.36,291.3,815.21,246.71,240.69,404.68,72.32,416.66,351.81,386.61,130.46,201.26,190.89,337.69,110.91,312.06,370.22,170.87,207.99,287.16,423.81,424.09,336.88,237.39,427.99,121.2,327.43,278.79,369.69,240.32,776.53,118.41,771.79,246.73,250.39,792.09,475.26,188.12,270.84,352.59,114.15,267.21,215.44,102.39,75.77,89.19,428.19,235.99,178.97,239.25,189.43,298.61,87.81,263.66,12.75,340.16,343.61,217.76,420.54,415.78,268.93,395.74,401.16,212.44,113.38,283.52,383.21,309.71,150.75,189.0,111.09,262.82,264.21,231.96,3.54,453.21,453.69,398.4,327.86,258.6,421.86,450.09,111.64,267.84,340.65,167.19,422.01,421.56,424.8,439.29,410.74,264.81,355.93,192.32
Baker's Falls,102.32,511.5,35.01,138.51,367.09,320.25,325.52,165.28,0.0,14.16,405.73,276.69,273.51,93.56,131.34,257.55,96.64,975.56,157.54,286.56,293.87,292.37,506.7,337.56,286.61,92.42,70.56,77.81,275.7,280.76,110.87,299.59,867.66,115.33,84.39,150.64,579.54,254.81,375.3,299.59,298.07,297.34,300.19,54.6,293.94,72.09,246.43,50.81,43.46,278.74,268.86,298.84,262.26,5.91,256.82,398.1,290.06,500.72,934.8,934.46,296.4,299.01,503.29,287.49,290.59,225.88,267.09,269.23,163.05,163.59,586.2,213.04,436.8,980.16,276.51,374.21,249.28,206.81,286.76,277.65,278.85,96.19,70.65,88.37,502.56,57.88,162.17,285.94,255.96,132.64,176.94,556.59,277.11,499.99,385.31,286.14,49.97,492.17,289.09,211.24,302.08,941.68,279.51,936.81,328.22,326.7,956.76,612.36,88.89,298.82,431.08,55.82,295.2,369.19,65.74,203.23,238.2,281.7,369.17,337.86,372.64,87.64,261.41,251.85,423.04,162.02,504.99,508.37,352.69,290.81,298.46,293.85,296.59,523.16,366.26,52.71,152.31,242.51,434.21,83.85,44.59,64.03,293.29,294.41,364.76,164.25,587.44,588.36,235.54,492.81,93.36,299.85,583.89,54.94,292.41,220.16,301.65,272.44,283.03,267.26,294.45,574.18,294.36,234.77,355.11
Bambarakanda Falls,116.46,520.31,42.19,150.6,370.65,334.44,312.96,174.99,14.16,0.0,400.95,290.25,283.09,89.79,144.51,267.24,82.5,984.84,167.38,286.09,307.56,305.98,515.51,345.15,299.98,83.19,83.94,63.9,289.26,278.34,105.3,303.0,875.21,109.35,73.63,161.96,582.13,246.96,378.9,303.0,311.72,310.99,303.6,62.46,307.59,84.92,241.18,58.69,48.28,280.24,283.03,304.5,258.17,13.63,252.24,404.25,303.64,509.61,943.78,943.41,310.11,302.12,512.12,287.91,291.96,217.91,278.4,279.0,172.54,173.12,589.39,199.26,441.58,988.99,290.34,377.81,236.29,212.74,288.6,286.26,265.05,110.34,57.62,77.85,511.44,65.19,148.41,293.55,256.39,143.89,163.48,559.29,275.7,508.03,390.64,285.77,55.93,500.96,302.36,206.98,316.22,951.49,287.51,945.69,342.39,340.86,965.38,615.49,78.77,312.49,428.85,62.53,308.89,375.47,73.5,215.85,244.86,280.37,372.75,345.15,376.22,77.27,272.85,262.16,430.18,172.46,513.81,517.18,356.59,292.65,302.12,307.48,302.55,524.7,372.54,61.61,155.94,228.47,436.44,97.52,31.18,77.29,307.05,308.14,368.34,173.74,590.25,591.24,229.07,501.75,84.32,302.81,586.65,63.45,306.04,224.23,305.96,270.43,283.33,262.95,293.4,584.91,308.1,220.69,365.89
