,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Aberdeen Falls,0.0,209.41,43.31,31.98,162.86,101.91,194.17,54.0,47.75,54.35,207.54,86.8,106.23,72.55,28.93,98.89,92.62,422.66,50.72,148.19,93.83,93.57,207.13,135.01,92.44,82.17,18.68,83.38,86.23,151.34,82.43,141.38,378.44,89.27,81.37,40.71,262.59,148.77,166.33,141.38,95.86,95.64,141.71,40.3,94.14,26.27,143.71,40.45,46.46,138.65,78.37,133.05,147.72,48.43,146.6,167.51,92.65,204.12,404.75,404.64,94.73,142.18,205.52,145.85,144.21,141.12,95.13,103.53,54.24,54.23,263.52,146.85,189.91,426.33,84.98,165.9,162.37,85.47,141.04,112.13,176.29,7.23,78.78,82.66,205.04,41.55,123.11,119.9,124.77,43.12,128.08,251.62,146.83,206.96,164.72,147.65,44.42,200.6,94.27,125.87,94.04,405.12,107.94,405.99,105.52,104.95,416.22,275.78,82.23,96.05,210.99,42.89,94.3,154.09,40.33,54.33,95.52,148.6,163.67,136.3,165.22,82.12,92.11,86.37,175.15,49.27,206.31,208.02,155.22,142.82,140.06,94.1,130.97,240.27,152.69,38.01,80.33,160.88,197.58,18.2,67.65,21.48,93.03,93.6,161.75,54.6,265.42,265.65,141.92,200.31,85.2,143.02,263.94,38.73,93.46,105.3,131.33,146.5,144.2,150.49,153.38,231.39,93.68,156.65,130.48
Abhayagiri Dagaba,209.41,0.0,223.12,178.91,108.66,187.77,306.07,161.8,238.7,242.81,213.16,228.54,290.95,218.36,230.37,285.7,266.78,217.15,165.46,357.1,225.88,228.04,2.28,84.01,234.78,236.49,211.15,257.64,227.87,360.74,221.26,345.03,169.36,291.9,242.2,171.11,126.98,232.91,106.37,345.03,226.87,227.45,345.37,213.66,227.4,234.95,351.2,215.42,220.74,346.05,195.82,331.06,356.39,237.13,354.85,71.26,228.59,5.4,197.65,197.48,224.64,346.45,3.89,354.11,351.45,344.05,269.41,287.91,162.7,162.47,117.8,321.78,80.71,218.72,219.58,106.77,344.91,147.46,347.8,301.06,316.71,216.6,250.28,241.47,4.44,212.42,301.35,312.21,161.41,248.14,278.46,120.18,356.17,17.1,84.17,356.5,216.94,9.03,238.12,333.69,198.33,203.28,109.21,198.52,184.22,188.95,207.84,125.36,239.9,226.13,181.43,213.75,225.27,79.82,208.51,157.14,131.46,357.9,107.85,85.29,107.16,240.84,266.8,123.28,52.07,164.15,3.09,1.48,108.1,349.46,343.26,227.46,328.24,134.22,80.68,214.19,289.58,329.21,118.25,227.53,247.3,213.15,222.78,223.26,108.91,162.15,124.7,123.95,347.66,9.22,282.11,347.52,124.69,213.25,227.4,311.78,119.21,355.91,352.62,359.08,362.5,56.14,223.78,309.85,82.28
Ambewela Farms,43.31,223.12,0.0,52.35,155.11,144.37,151.03,62.1,16.34,19.69,177.4,129.21,136.03,32.98,63.93,128.5,52.36,439.92,58.59,149.41,136.63,136.22,220.89,141.49,134.46,39.09,25.13,42.52,128.68,147.17,42.4,153.72,388.88,70.06,38.08,56.83,254.43,110.53,158.93,153.72,138.65,138.39,154.01,9.46,136.85,39.05,131.33,7.71,4.96,145.02,121.42,151.8,138.72,14.27,136.19,169.48,135.24,218.14,420.74,420.58,137.62,153.63,219.3,149.53,150.59,121.27,130.38,133.8,60.92,61.19,257.4,109.32,187.51,441.84,127.99,158.43,128.17,80.18,148.59,139.11,133.43,42.97,36.77,39.36,218.99,10.79,85.91,144.05,104.3,68.85,85.12,243.68,145.26,217.44,163.47,149.17,7.05,214.09,136.0,114.92,137.13,424.42,114.53,421.64,147.7,147.48,430.83,269.63,38.95,138.89,187.31,9.72,137.15,156.0,14.63,83.26,94.91,147.38,156.08,141.55,157.69,38.81,127.56,102.92,181.28,61.19,220.09,221.66,148.34,150.48,153.04,136.81,150.52,228.41,154.63,9.31,85.26,121.84,186.72,41.31,27.59,22.04,135.99,136.55,154.02,61.48,258.06,258.48,126.13,214.47,59.02,154.1,256.41,10.01,136.16,116.4,124.47,143.21,147.48,141.06,153.25,253.62,136.6,114.64,151.48
Ambuluwawa Tower,31.98,178.91,52.35,0.0,132.16,101.25,192.57,22.82,64.64,70.28,186.44,101.13,134.37,69.17,58.84,127.31,104.42,393.68,20.04,179.77,106.11,106.57,176.64,103.08,107.76,84.32,33.1,94.5,100.44,182.16,78.12,173.27,347.5,114.77,86.24,8.79,231.44,137.22,135.52,173.27,108.12,108.12,173.6,44.21,106.84,56.22,172.53,45.54,52.53,170.59,82.24,164.24,177.48,63.95,176.0,135.54,105.98,173.69,375.31,375.18,106.47,174.11,175.03,177.65,176.16,167.28,120.15,131.5,23.49,23.38,232.04,161.64,158.17,396.76,96.63,135.11,180.33,56.09,173.01,141.37,181.3,39.11,88.19,86.81,174.59,44.07,138.26,149.97,99.92,74.67,133.42,220.46,178.05,175.73,132.95,179.26,48.86,170.02,110.29,154.9,97.38,376.91,75.96,376.44,103.56,104.45,386.36,244.28,85.83,108.05,185.68,45.8,106.31,122.13,40.52,30.98,64.36,179.88,132.93,104.33,134.45,86.16,117.07,55.66,143.28,17.53,175.82,177.5,124.41,174.8,171.91,106.84,162.03,210.02,120.74,43.31,111.81,173.85,167.34,49.35,79.93,35.62,104.45,105.09,131.06,23.73,234.12,234.32,169.62,169.9,107.44,174.96,232.68,43.02,106.28,137.29,100.84,177.45,175.96,180.17,184.83,204.21,105.32,164.56,102.16
Ancient City of Polonnaruwa,162.86,108.66,155.11,132.16,0.0,198.68,200.67,109.36,171.31,172.97,106.98,221.6,266.06,136.86,190.91,259.16,184.6,312.66,112.37,303.88,223.36,224.71,107.23,53.02,228.65,152.57,154.96,177.24,220.86,302.28,135.81,303.17,248.22,223.78,159.45,123.53,100.1,128.16,3.9,303.17,225.07,225.36,303.5,146.75,224.56,182.35,285.3,148.42,151.04,297.72,192.67,295.91,293.45,168.94,290.64,38.05,224.62,106.21,291.06,290.78,222.95,303.68,106.2,303.31,303.35,271.83,250.05,263.14,108.85,108.91,102.33,233.04,36.9,310.19,214.43,3.37,257.95,77.8,300.79,273.44,216.59,169.42,170.22,158.06,106.55,144.96,216.2,282.13,61.47,205.95,185.01,89.19,300.2,94.11,24.89,303.57,148.07,101.66,231.77,269.56,203.01,303.41,65.4,291.1,197.72,201.27,297.49,114.59,156.44,224.65,81.15,145.6,223.17,35.33,141.87,129.82,67.9,302.28,1.07,49.01,2.63,157.56,247.01,95.14,57.32,114.74,106.74,107.39,7.93,302.65,302.04,224.58,293.83,78.12,35.46,148.37,237.4,237.09,35.8,177.83,171.78,155.48,220.79,221.42,1.12,108.55,103.34,103.68,278.86,104.22,210.29,304.38,101.76,147.1,224.22,266.19,31.58,298.29,301.38,295.68,308.02,161.65,221.82,213.96,102.32
Angurukaramulla Temple,101.91,187.77,144.37,101.25,198.68,0.0,292.86,113.69,149.45,156.07,278.89,47.54,116.39,169.02,96.04,113.65,194.48,374.82,113.74,206.88,41.49,43.93,185.77,149.63,51.82,181.96,119.26,185.29,47.11,217.74,178.45,181.61,349.14,181.42,182.2,103.97,285.08,238.02,200.75,181.61,41.81,42.51,181.93,139.3,43.01,120.68,222.05,139.98,146.73,190.67,25.11,161.8,221.29,150.29,222.15,182.43,44.9,182.63,360.69,360.7,39.81,183.96,184.4,200.92,194.99,227.96,92.7,113.66,115.56,115.19,281.44,247.46,209.56,382.62,39.05,200.56,260.7,142.2,190.42,127.82,277.8,104.71,180.58,183.27,183.57,139.98,223.86,139.99,190.43,109.15,229.49,274.71,210.1,193.88,187.15,205.95,143.94,181.12,54.84,204.93,13.7,352.92,133.61,362.69,5.17,3.2,375.05,292.62,182.63,40.94,269.99,141.62,40.64,172.55,137.44,78.81,140.21,211.03,199.02,153.11,200.12,182.68,90.97,104.5,178.98,108.49,185.05,186.8,191.06,191.61,179.32,43.09,158.54,272.9,171.47,137.44,151.75,262.08,233.42,112.61,169.56,122.39,38.48,38.77,197.76,115.33,285.86,285.66,224.4,179.15,182.15,185.32,284.91,137.78,43.28,158.52,173.27,212.37,200.28,224.28,213.32,183.54,39.29,258.54,111.19
Arugam Bay,194.17,306.07,151.03,192.57,200.67,292.86,0.0,186.78,151.91,146.05,128.36,280.08,274.63,123.84,213.07,267.57,112.03,512.69,185.16,239.21,287.63,287.17,304.31,227.12,285.1,112.0,175.6,117.65,279.56,225.77,114.53,263.99,444.28,160.08,113.41,191.87,268.24,73.16,203.85,263.99,289.64,289.37,264.16,154.36,287.82,185.55,196.38,153.95,147.72,246.35,271.28,273.19,209.01,149.99,204.03,235.46,286.16,302.65,490.77,490.47,288.64,262.35,303.04,244.41,250.52,171.28,275.31,273.14,184.8,185.21,277.38,98.72,236.28,509.24,279.01,203.35,117.7,174.27,251.26,273.94,41.25,193.91,119.18,111.88,303.19,153.44,106.08,274.54,144.94,212.8,71.82,260.59,230.37,293.29,223.22,239.68,149.95,298.0,286.45,191.68,286.99,504.06,210.59,490.62,295.6,296.04,496.15,287.13,112.14,289.9,163.7,151.89,288.16,226.28,155.65,220.54,187.62,232.57,201.65,224.53,202.77,112.38,272.84,219.74,254.18,190.25,303.69,304.68,199.26,252.89,264.6,287.78,273.35,235.75,225.45,156.46,204.35,87.39,210.36,190.54,131.57,172.7,287.02,287.58,200.11,185.23,273.84,274.79,184.8,299.95,145.96,262.05,271.95,155.93,287.13,233.44,187.26,225.21,242.12,209.29,239.0,353.52,287.62,62.11,263.12
Bahiravokanda Vihara Buddha Statue,54.0,161.8,62.1,22.82,109.36,113.69,186.78,0.0,77.13,81.66,167.63,120.53,157.11,67.85,81.58,150.08,110.77,378.14,3.68,200.18,124.61,125.34,159.54,82.68,127.37,85.38,50.21,100.94,119.81,201.49,75.06,195.32,329.12,130.1,89.04,14.34,208.76,125.55,112.73,195.32,126.56,126.65,195.65,52.72,125.49,76.28,189.8,54.43,60.46,191.82,97.98,186.84,195.66,75.73,193.81,114.06,124.9,156.72,359.2,359.05,124.75,196.06,157.95,198.48,197.42,182.31,142.42,154.23,1.99,1.58,209.54,168.17,135.94,380.43,115.13,112.32,188.85,33.75,194.44,164.18,180.42,60.88,93.92,89.08,157.59,51.76,145.63,172.77,79.74,97.06,134.01,197.78,197.91,157.21,110.78,199.73,56.56,152.8,130.1,172.52,112.15,362.38,55.26,360.17,115.14,116.85,369.64,221.79,87.79,126.39,164.54,53.27,124.7,100.54,47.78,35.36,41.62,199.82,110.13,83.52,111.65,88.4,139.35,40.98,123.04,5.95,158.74,160.35,101.62,196.25,194.03,125.5,184.68,187.21,99.14,52.91,132.31,178.83,144.53,70.35,88.2,51.84,122.65,123.3,108.25,1.65,211.5,211.72,185.92,153.0,120.68,196.87,210.04,52.1,124.99,158.97,78.02,196.94,196.73,198.24,205.0,191.68,123.58,166.1,89.75
Baker's Falls,47.75,238.7,16.34,64.64,171.31,149.45,151.91,77.13,0.0,6.61,189.34,129.12,127.64,43.66,61.29,120.19,45.1,455.26,73.52,133.73,137.14,136.44,236.46,157.53,133.75,43.13,32.93,36.31,128.66,131.02,51.74,139.81,404.91,53.82,39.38,70.3,270.45,118.91,175.14,139.81,139.1,138.76,140.09,25.48,137.17,33.64,115.0,23.71,20.28,130.08,125.47,139.46,122.39,2.76,119.85,185.78,135.36,233.67,436.24,436.08,138.32,139.54,234.87,134.16,135.61,105.41,124.64,125.64,76.09,76.34,273.56,99.42,203.84,457.41,129.04,174.63,116.33,96.51,133.82,129.57,130.13,44.89,32.97,41.24,234.53,27.01,75.68,133.44,119.45,61.9,82.57,259.74,129.32,233.33,179.81,133.53,23.32,229.68,134.91,98.58,140.97,439.45,130.44,437.18,153.17,152.46,446.49,285.77,41.48,139.45,201.17,26.05,137.76,172.29,30.68,94.84,111.16,131.46,172.28,157.67,173.9,40.9,121.99,117.53,197.42,75.61,235.66,237.24,164.59,135.71,139.28,137.13,138.41,244.14,170.92,24.6,71.08,113.17,202.63,39.13,20.81,29.88,136.87,137.39,170.22,76.65,274.14,274.57,109.92,229.98,43.57,139.93,272.48,25.64,136.46,102.74,140.77,127.14,132.08,124.72,137.41,267.95,137.37,109.56,165.72
Bambarakanda Falls,54.35,242.81,19.69,70.28,172.97,156.07,146.05,81.66,6.61,0.0,187.11,135.45,132.11,41.9,67.44,124.71,38.5,459.59,78.11,133.51,143.53,142.79,240.57,161.07,139.99,38.82,39.17,29.82,134.99,129.89,49.14,141.4,408.43,51.03,34.36,75.58,271.66,115.25,176.82,141.4,145.47,145.13,141.68,29.15,143.54,39.63,112.55,27.39,22.53,130.78,132.08,142.1,120.48,6.36,117.71,188.65,141.7,237.82,440.43,440.26,144.72,140.99,238.99,134.36,136.25,101.69,129.92,130.2,80.52,80.79,275.05,92.99,206.07,461.53,135.49,176.31,110.27,99.28,134.68,133.59,123.69,51.49,26.89,36.33,238.67,30.42,69.26,136.99,119.65,67.15,76.29,261.0,128.66,237.08,182.3,133.36,26.1,233.78,141.1,96.59,147.57,444.03,134.17,441.32,159.78,159.07,450.51,287.23,36.76,145.83,200.13,29.18,144.15,175.22,34.3,100.73,114.27,130.84,173.95,161.07,175.57,36.06,127.33,122.34,200.75,80.48,239.78,241.35,166.41,136.57,140.99,143.49,141.19,244.86,173.85,28.75,72.77,106.62,203.67,45.51,14.55,36.07,143.29,143.8,171.89,81.08,275.45,275.91,106.9,234.15,39.35,141.31,273.77,29.61,142.82,104.64,142.78,126.2,132.22,122.71,136.92,272.96,143.78,102.99,170.75
