place,sentence,true_best_time,true_crowd_level,true_cost_level,system_best_time,system_crowd_level,system_cost_level,system_time_of_day,system_season,system_day_type,system_crowd_ordinal,system_crowd_label,system_cost_band,system_amount_lkr,true_time_of_day,true_season,true_day_type,true_crowd_ordinal,true_cost_band,true_amount_lkr,notes
Devon_Falls,nice charm place to spend some time on the way to nuwara eliya via hatton road,0,0,0,0,0,0,,,,,,,,,,,,,,
St_Lucia_s_Cathedral,held thanksgiving commemoration service,0,0,0,0,0,0,,,,,,,,,,,,,,
Pedro_Tea_Factory,I would guess also less tourists.,0,1,0,1,1,0,,,,,,,,,,,4,,,
Ella_Rock,"we started our trek to the beautiful ella rock in the morning of 31st aug, our local guide was dinuka (contact ellaholidays",1,0,0,0,0,0,MID_MORNING,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Negombo_Fish_MarketUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Entrance of market is very untidy.,0,0,0,0,0,0,,,,,,,,,,,,,,
Diyaluma_Falls,We have visited the fall today.,0,0,0,0,0,0,,,,,,,,,,,,,,
Temple_of_the_Sacred_Tooth_Relic,As foreigners we had to pay 3000 which was a lot we felt.,0,0,1,0,0,1,,,,,,,,,,,,VERY_HIGH,,
Negombo_Fish_MarketUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,A local told us that not many fishermen had been out that morning as previous day was a public holiday.,1,0,0,1,0,0,MID_MORNING,,WEEKDAY,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Mount_Lavinia_Beach,don’t come here for the beach,0,0,0,0,0,0,,,,,,,,,,,,,,
Temple_of_the_Sacred_Tooth_Relic,We were part of an organised group visit so I don't know what the entrance price is.,0,0,0,0,0,1,,,,,,,,,,,,,,
Bahiravokanda_Vihara_Buddha_Statue,The entry fee was 500 Rupees per person.,0,0,1,0,0,1,,,,,,MODERATE,500,,,,,MODERATE,,
Hakgala_Botanic_Gardens,you could see a variety of flowers plants and other related fauna,0,0,0,0,0,0,,,,,,,,,,,,,,
Pinnawala_Elephant_Orphanage,we were expecting to give the elephant a bath and give some food to elephants,0,0,0,0,0,0,,,,,,,,,,,,,,
Gangaramaya_Temple,"Being a place of worship, there is no entrance fee for locals.",0,0,1,0,0,1,,,,,,FREE,,,,,,MODERATE,,
Brief_Garden_-_Bevis_Bawa,nothing much to see and cant even find the place no signs and the road to the garden was pure nightmare,0,0,0,0,0,0,,,,,,,,,,,,,,
Wolvendaal_Church,"i've been to this church twice, once for a wedding and the second time with colombo city walks",0,0,0,0,0,0,,,,,,,,,,,,,,
Nalanda_Gedige,we been there in light rains,0,0,0,0,0,0,,,,,,,,,,,,,,
Sea_Turtle_Conservation_Project_Koggala,our tour group stopped here and it was kind of sad to see the turtles in small pools swimming in circles,0,0,0,0,0,0,,,,,,,,,,,,,,
Brief_Garden_-_Bevis_Bawa,it takes quite a bit of time to get here,0,0,0,0,0,0,,,,,,,,,,,,,,
St_Lucia_s_Cathedral,historical place colombo nice parking place silenced place even colombo,0,0,0,0,0,0,,,,,,,,,,,,,,
