place,sentence,true_best_time,true_crowd_level,true_cost_level,system_best_time,system_crowd_level,system_cost_level,system_time_of_day,system_season,system_day_type,system_crowd_ordinal,system_crowd_label,system_cost_band,system_amount_lkr,true_time_of_day,true_season,true_day_type,true_crowd_ordinal,true_cost_band,true_amount_lkr,notes
Pedro_Tea_Factory,I would guess also less tourists.,0,1,0,,,,,,,,,,,,,,3,,,
Ella_Rock,"we started our trek to the beautiful ella rock in the morning of 31st aug, our local guide was dinuka (contact ellaholidays",1,0,0,,,,,,,,,,,MID_MORNING,NOT_STATED,NOT_STATED,,,,
Hakgala_Botanic_Gardens,We went on a weekday afternoon so there was hardly anyone.,1,1,0,,,,,,,,,,,AFTERNOON,NOT_STATED,NOT_STATED,2,,,
Jungle_Beach,"We went during the public holidays so it was so busy with lots of noise, people & trash everywhere.",1,1,0,,,,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,4,,,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,He showed us the book and said everyone pays 1000 rupees per person.,1,0,0,,,,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Jaffna_Fort,20 LKR entry fee for the locals.,0,0,1,,,,,,,,,,,,,,,LOW,20,
Kalutara_Beach,"Because the water is not safe to swim in, so be aware of high waves and strong currents.",1,0,0,,,,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Kaudulla_National_Park,we were charged 55 US dollars each which includes the entrance fee and jeep - we went at approximately 3.30pm.,0,0,1,,,,,,,,,,,,,,,HIGH,55 US dollars,
Sithulpawwa_Rock_Temple,However due to the weather conditions in the area its recommended to climb during early morning hours or evenings.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Jami_Ul-Alfar_Mosque,"good place for photography, although i am not a muslim, i love its architecture",1,0,0,,,,,,,,,,,NOT_STATED,NOT_STATED,NOT_STATED,,,,
Dalawella_Beach,"So, now he charges Rs 500 per person but you get 3 rides on the swing for that.",0,0,1,,,,,,,,,,,,,,,MODERATE,Rs 500,
Hummanaya_Blow_Hole,The homeowners in the area allow you to park on their land for a fee of Rs 50/-.,0,0,1,,,,,,,,,,,,,,,LOW,Rs 50,
Kosgoda_Sea_Turtle_Conservation_Project,The 2000 LKR entry fee per person supports their vital work.,0,0,1,,,,,,,,,,,,,,,HIGH,2000,
Kosgoda_Sea_Turtle_Conservation_Project,"First we’ve been told it’s 1000rs/person, I just said “is it 500 or 1000?” Then suddenly it became 500 rs/person!",0,0,1,,,,,,,,,,,,,,,MODERATE,1000,
Japanese_Peace_Pagoda_-_Rumassala,Unlike other places there is no entry fee here so all you have to do is spent on transport.,0,0,1,,,,,,,,,,,,,,,FREE,,
Ruwanweli_Maha_Seya,Visit either in the early morning or in the evening when the sun is not too hot.,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Pedro_Tea_Factory,One must purchase an entry ticket which costs around Rs.250/= per person.,0,0,1,,,,,,,,,,,,,,,LOW,Rs.250,
Royal_Botanical_Gardens,Only con is that is expensive for foreigners.,0,0,1,,,,,,,,,,,,,,,VERY_HIGH,,
Hiriketiya_Beach,the beach was recommended a lot but i must have changed a lot,0,0,1,,,,,,,,,,,,,,,NOT_STATED,,
Beddegana_Wetland_Park,good place spend time nature location maintained fine find lot couples week days working times less crowded,0,1,0,,,,,,,,,,,,,,3,,,
Casuarina_Beach,It wasn't crowded at all on the Saturday we went.,0,1,0,,,,,,,,,,,,,,2,,,
Pedro_Tea_Factory,Not fully functional on sundays.,1,0,0,,,,,,,,,,,NOT_STATED,NOT_STATED,WEEKDAY,,,,
Mirissa_Beach,"the prices of the restaurants on the beach are high compared to other restaurants in sri lanka, but they offer good food",0,0,1,,,,,,,,,,,,,,,NOT_STATED,,
Victoria_Park_of_Nuwara_Eliya,There is an entrance fee but I can't remember what it was so it mustn't have be too much!,0,0,1,,,,,,,,,,,,,,,LOW,,
Ancient_City_of_Polonnaruwa,We are able to take as many pictures as we want without having people in the background.,0,1,0,,,,,,,,,,,,,,3,,,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,You can swim and dive if you don't mind the crowd or you can just relax on the rocks and admire the fall.,0,1,0,,,,,,,,,,,,,,3,,,
Victoria_Park_of_Nuwara_Eliya,"However, I don't think much of the 300 rupee entrance fee is spent on litter collection, as the place is filthy.",0,0,1,,,,,,,,,,,,,,,LOW,300,
Nilaveli_Beach,The beach is relatively less crowded on a weekday and filled with locals.,1,1,0,,,,,,,,,,,NOT_STATED,NOT_STATED,WEEKDAY,3,,,
Pidurangala_Rock,we climbed the rock for sunrise and it was an amazing experience,1,0,0,,,,,,,,,,,EARLY_MORNING,NOT_STATED,NOT_STATED,,,,
Nalanda_Gedige,So no tourist was around.,0,1,0,,,,,,,,,,,,,,2,,,
Ceylon_Tea_Museum,The only thing that spoiled our trip a little was the fact that the tickets were 100 rs more than we found on the official web site and we did not bring enough money.,0,0,1,,,,,,,,,,,,,,,LOW,100,
Visit_Kanneliya_Rain_Forest,It cost 660 Rupees to enter and a further 1000 for the compulsory guide.,0,0,1,,,,,,,,,,,,,,,MODERATE,660 ,
Lipton_s_Seat,"I don't know what they base the bill on, but expect to pay somewhere between 600 and 800 LKR.",0,0,1,,,,,,,,,,,,,,,MODERATE,660 ,
Hakgala_Botanic_Gardens,Ticket costs foreigners 1100Rs and locals about 50Rs.,0,0,1,,,,,,,,,,,,,,,MODERATE,1100,
Pedro_Tea_Factory,really interesting and informative tour is very workwhile,0,1,0,,,,,,,,,,,,,,NOT_STATED,,,
Isurumuniya_Temple,200 Rupee entry fee for access to the temple.,0,0,1,,,,,,,,,,,,,,,LOW,200,
Aberdeen_Falls,(Till 12pm) Can walk close to the water fall.,1,0,0,,,,,,,,,,,MID_MORNING,NOT_STATED,NOT_STATED,,,,
Bahiravokanda_Vihara_Buddha_Statue,"Once at the top, you enter into the temple area and pay a small fee of $1.35 pp.",0,0,1,,,,,,,,,,,,,,,MODERATE,$1.35 ,
