category,threshold,precision,recall,f1,tp,fp,fn
best_time,0.3,0.6181,0.8241,0.7063,89,55,19
best_time,0.32,0.6723,0.7407,0.7048,80,39,28
best_time,0.34,0.8,0.6667,0.7273,72,18,36
best_time,0.36,0.8,0.4815,0.6012,52,13,56
best_time,0.38,0.8333,0.3241,0.4667,35,7,73
best_time,0.4,0.88,0.2037,0.3308,22,3,86
best_time,0.42,0.9333,0.1296,0.2276,14,1,94
best_time,0.44,1.0,0.0741,0.1379,8,0,100
best_time,0.46,1.0,0.0648,0.1217,7,0,101
best_time,0.48,1.0,0.0556,0.1053,6,0,102
best_time,0.5,1.0,0.037,0.0714,4,0,104
crowd_level,0.3,0.4352,0.9333,0.5936,84,109,6
crowd_level,0.32,0.4969,0.9,0.6403,81,82,9
crowd_level,0.34,0.5512,0.7778,0.6452,70,57,20
crowd_level,0.36,0.5882,0.6667,0.625,60,42,30
crowd_level,0.38,0.5753,0.4667,0.5153,42,31,48
crowd_level,0.4,0.6444,0.3222,0.4296,29,16,61
crowd_level,0.42,0.7097,0.2444,0.3636,22,9,68
crowd_level,0.44,0.7391,0.1889,0.3009,17,6,73
crowd_level,0.46,0.7692,0.1111,0.1942,10,3,80
crowd_level,0.48,0.9091,0.1111,0.198,10,1,80
crowd_level,0.5,0.8889,0.0889,0.1616,8,1,82
cost_level,0.3,0.9167,0.8521,0.8832,121,11,21
cost_level,0.32,0.9304,0.7535,0.8327,107,8,35
cost_level,0.34,0.957,0.6268,0.7574,89,4,53
cost_level,0.36,0.9474,0.507,0.6606,72,4,70
cost_level,0.38,0.9429,0.4648,0.6226,66,4,76
cost_level,0.4,0.9333,0.3944,0.5545,56,4,86
cost_level,0.42,0.9583,0.3239,0.4842,46,2,96
cost_level,0.44,0.975,0.2746,0.4286,39,1,103
cost_level,0.46,0.9688,0.2183,0.3563,31,1,111
cost_level,0.48,0.96,0.169,0.2874,24,1,118
cost_level,0.5,0.9565,0.1549,0.2667,22,1,120
